Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    42952	     	     5899	     	     3013
        0	     	        0	     	    44112	     	     5998	     	     3066
        0	     	        0	     	    43906	     	     6367	     	     2991
        0	     	        0	     	    44263	     	     6959	     	     3042
        0	     	        0	     	    46358	     	    11104	     	     3090
        0	     	        0	     	    44582	     	     7640	     	     2995
        0	     	        0	     	    42753	     	     7789	     	     3102
        0	     	        0	     	    44733	     	     7103	     	     2956
        0	     	        0	     	    43565	     	     7413	     	     2899
        0	     	        0	     	    44207	     	     7513	     	     3005
        0	     	        0	     	    44156	     	     8421	     	     2988
        0	     	        0	     	    43921	     	     8405	     	     2946
        0	     	        0	     	    44355	     	     7410	     	     2967
        0	     	        0	     	    45375	     	     9829	     	     3050
        0	     	        0	     	    44244	     	     9783	     	     3016
        0	     	        0	     	    43003	     	     6921	     	     2935
        0	     	        0	     	    46697	     	    12876	     	     3108
        0	     	        0	     	    44184	     	     9798	     	     3055
        0	     	        0	     	    44375	     	    10424	     	     3067
        0	     	        0	     	    45017	     	    10145	     	     2949
        0	     	        0	     	    44436	     	    10190	     	     3050
        0	     	        0	     	    45027	     	    10586	     	     3091
        0	     	        0	     	    44762	     	    12149	     	     3056
        0	     	        0	     	    45680	     	    12135	     	     3065
        0	     	        0	     	    45278	     	    11273	     	     3088
        0	     	        0	     	    43309	     	     8416	     	     2983
        0	     	        0	     	    47586	     	    15902	     	     3040
        0	     	        0	     	    44957	     	    11852	     	     3061
        0	     	        0	     	    47765	     	    15077	     	     3082
        0	     	        0	     	    45774	     	    11493	     	     2967
        0	     	        0	     	    45092	     	    12993	     	     3045
        0	     	        0	     	    45671	     	    11484	     	     2951
        0	     	        0	     	    47427	     	    15979	     	     3137
        0	     	        0	     	    45449	     	    12304	     	     3065
        0	     	        0	     	    46035	     	    12359	     	     2983
        0	     	        0	     	    45324	     	    13702	     	     3111
        0	     	        0	     	    45821	     	    12235	     	     3012
        0	     	        0	     	    46076	     	    13183	     	     3110
        0	     	        0	     	    46607	     	    12496	     	     3055
        0	     	        0	     	    46655	     	    14001	     	     3064
        0	     	        0	     	    46827	     	    15490	     	     2987
        0	     	        0	     	    46631	     	    14085	     	     3089
        0	     	        0	     	    46509	     	    15297	     	     3067
        0	     	        0	     	    46674	     	    14651	     	     3090
        0	     	        0	     	    46567	     	    15586	     	     3060
        0	     	        0	     	    45071	     	    13485	     	     3039
        0	     	        0	     	    46820	     	    14808	     	     3084
        0	     	        0	     	    46716	     	    15403	     	     3039
        0	     	        0	     	    47154	     	    16229	     	     3160
        0	     	        0	     	    46292	     	    15153	     	     3127
        0	     	        0	     	    47162	     	    16364	     	     3110
        0	     	        0	     	    47284	     	    15952	     	     3199
        0	     	        0	     	    46762	     	    17057	     	     3086
        0	     	        0	     	    48238	     	    17042	     	     3124
        0	     	        0	     	    46777	     	    17090	     	     3122
        0	     	        0	     	    46648	     	    16580	     	     3029
        0	     	        0	     	    48320	     	    17394	     	     3188
        0	     	        0	     	    46859	     	    15401	     	     3168
        0	     	        0	     	    47267	     	    17018	     	     3152
        0	     	        0	     	    47755	     	    17331	     	     3111
        0	     	        0	     	    50466	     	    20495	     	     3180
        0	     	        0	     	    47333	     	    18435	     	     3052
        0	     	        0	     	    46833	     	    18254	     	     3250
        0	     	        0	     	    47879	     	    18927	     	     3072
        0	     	        0	     	    47899	     	    18841	     	     3167
        0	     	        0	     	    48553	     	    18390	     	     3056
        0	     	        0	     	    46397	     	    15906	     	     3128
        0	     	        0	     	    47779	     	    19020	     	     3165
        0	     	        0	     	    48528	     	    19213	     	     3166
        0	     	        0	     	    46864	     	    18389	     	     3063
        0	     	        0	     	    48239	     	    18906	     	     3110
        0	     	        0	     	    47759	     	    19976	     	     3139
        0	     	        0	     	    48219	     	    19452	     	     3140
        0	     	        0	     	    47646	     	    18854	     	     3174
        0	     	        0	     	    49559	     	    18473	     	     3186
        0	     	        0	     	    48490	     	    19856	     	     3132
        0	     	        0	     	    47970	     	    20217	     	     3104
        0	     	        0	     	    49324	     	    20823	     	     3177
        0	     	        0	     	    47236	     	    19318	     	     3122
        0	     	        0	     	    49258	     	    19818	     	     3065
        0	     	        0	     	    49467	     	    21229	     	     3117
        0	     	        0	     	    48654	     	    21439	     	     3170
        0	     	        0	     	    48993	     	    21013	     	     3180
        0	     	        0	     	    48751	     	    21462	     	     3179
        0	     	        0	     	    48901	     	    20903	     	     3117
        0	     	        0	     	    48526	     	    22443	     	     3142
        0	     	        0	     	    49038	     	    22282	     	     3225
        0	     	        0	     	    49560	     	    21640	     	     3079
        0	     	        0	     	    49341	     	    21262	     	     3175
        0	     	        0	     	    50390	     	    22580	     	     3198
        0	     	        0	     	    47896	     	    22428	     	     3166
        0	     	        0	     	    49539	     	    22627	     	     3211
        0	     	        0	     	    49302	     	    21540	     	     3105
        0	     	        0	     	    49903	     	    20469	     	     3078
        0	     	        0	     	    49194	     	    21478	     	     3131
        0	     	        0	     	    49642	     	    22849	     	     3170
        0	     	        0	     	    49142	     	    22238	     	     3122
        0	     	        0	     	    49926	     	    22768	     	     3207
        0	     	        0	     	    49267	     	    23606	     	     3169
        0	     	        0	     	    49691	     	    23226	     	     3182
