Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	      310	     	      965	     	        0
        0	     	        0	     	      367	     	      976	     	        0
        0	     	        0	     	      338	     	      928	     	        0
        0	     	        0	     	      353	     	      920	     	        0
        0	     	        0	     	      359	     	      909	     	        0
        0	     	        0	     	      354	     	      915	     	        0
        0	     	        0	     	      360	     	      913	     	        0
        0	     	        0	     	      352	     	      929	     	        0
        0	     	        0	     	      413	     	      927	     	        0
        0	     	        0	     	      339	     	      918	     	        1
        0	     	        0	     	      343	     	      913	     	        0
        0	     	        0	     	      367	     	      959	     	        0
        0	     	        0	     	      337	     	      890	     	        0
        0	     	        0	     	      362	     	      924	     	        0
        0	     	        0	     	      337	     	      980	     	        0
        0	     	        0	     	      320	     	      908	     	        0
        0	     	        0	     	      386	     	      950	     	        0
        0	     	        0	     	      354	     	      952	     	        0
        0	     	        0	     	      336	     	      935	     	        0
        0	     	        0	     	      307	     	      943	     	        0
        0	     	        0	     	      365	     	      937	     	        0
        0	     	        0	     	      390	     	      961	     	        0
        0	     	        0	     	      343	     	      906	     	        0
        0	     	        0	     	      316	     	      933	     	        0
        0	     	        0	     	      331	     	      907	     	        0
        0	     	        0	     	      332	     	      941	     	        0
        0	     	        0	     	      384	     	      881	     	        0
        0	     	        0	     	      334	     	      913	     	        0
        0	     	        0	     	      367	     	      931	     	        0
        0	     	        0	     	      354	     	      942	     	        0
        0	     	        0	     	      327	     	      898	     	        0
        0	     	        0	     	      346	     	      944	     	        0
        0	     	        0	     	      355	     	      880	     	        0
        0	     	        0	     	      363	     	      961	     	        0
        0	     	        0	     	      350	     	      982	     	        0
        0	     	        0	     	      360	     	      929	     	        0
        0	     	        0	     	      353	     	      846	     	        0
        0	     	        0	     	      334	     	      885	     	        0
        0	     	        0	     	      337	     	      882	     	        0
        0	     	        0	     	      310	     	      955	     	        0
        0	     	        0	     	      338	     	      892	     	        0
        0	     	        0	     	      352	     	      893	     	        0
        0	     	        0	     	      348	     	      931	     	        1
        0	     	        0	     	      370	     	      899	     	        0
        0	     	        0	     	      356	     	      908	     	        0
        0	     	        0	     	      337	     	      944	     	        0
        0	     	        0	     	      351	     	      869	     	        0
        0	     	        0	     	      381	     	      935	     	        0
        0	     	        0	     	      359	     	      928	     	        0
        0	     	        0	     	      348	     	      934	     	        0
        0	     	        0	     	      338	     	      943	     	        0
        0	     	        0	     	      336	     	      860	     	        0
        0	     	        0	     	      350	     	      915	     	        0
        0	     	        0	     	      360	     	      949	     	        0
        0	     	        0	     	      331	     	      879	     	        0
        0	     	        0	     	      319	     	      879	     	        0
        0	     	        0	     	      329	     	      929	     	        0
        0	     	        0	     	      319	     	      926	     	        0
        0	     	        0	     	      348	     	      937	     	        0
        0	     	        0	     	      365	     	      931	     	        0
        0	     	        0	     	      341	     	      936	     	        0
        0	     	        0	     	      372	     	      895	     	        0
        0	     	        0	     	      390	     	      927	     	        0
        0	     	        0	     	      354	     	      904	     	        0
        0	     	        0	     	      390	     	      908	     	        0
        0	     	        0	     	      336	     	      951	     	        0
        0	     	        0	     	      360	     	      880	     	        0
        0	     	        0	     	      348	     	      875	     	        0
        0	     	        0	     	      346	     	      947	     	        0
        0	     	        0	     	      350	     	      893	     	        0
        0	     	        0	     	      363	     	      960	     	        0
        0	     	        0	     	      368	     	      890	     	        0
        0	     	        0	     	      360	     	      944	     	        0
        0	     	        0	     	      365	     	      910	     	        0
        0	     	        0	     	      338	     	      926	     	        0
        0	     	        0	     	      343	     	      915	     	        0
        0	     	        0	     	      375	     	      942	     	        0
        0	     	        0	     	      335	     	      860	     	        0
        0	     	        0	     	      352	     	      894	     	        0
        0	     	        0	     	      395	     	      880	     	        0
        0	     	        0	     	      368	     	      891	     	        0
        0	     	        0	     	      363	     	      901	     	        0
        0	     	        0	     	      353	     	      910	     	        0
        0	     	        0	     	      369	     	      891	     	        0
        0	     	        0	     	      336	     	      898	     	        0
        0	     	        0	     	      341	     	      922	     	        0
        0	     	        0	     	      346	     	      917	     	        0
        0	     	        0	     	      311	     	      907	     	        0
        0	     	        0	     	      329	     	      921	     	        0
        0	     	        0	     	      357	     	      896	     	        0
        0	     	        0	     	      360	     	      927	     	        0
        0	     	        0	     	      328	     	      909	     	        0
        0	     	        0	     	      349	     	      881	     	        0
        0	     	        0	     	      357	     	      895	     	        0
        0	     	        0	     	      333	     	      886	     	        0
        0	     	        0	     	      374	     	      887	     	        0
        0	     	        0	     	      386	     	     1000	     	        0
        0	     	        0	     	      332	     	      945	     	        0
        0	     	        0	     	      335	     	      926	     	        0
        0	     	        0	     	      326	     	      922	     	        0
