Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    44228	     	    36128	     	     1461
        0	     	        0	     	    45031	     	    36938	     	     1458
        0	     	        0	     	    44592	     	    38281	     	     1427
        0	     	        0	     	    44176	     	    36736	     	     1392
        0	     	        0	     	    44404	     	    36881	     	     1432
        0	     	        0	     	    44589	     	    36668	     	     1435
        0	     	        0	     	    44267	     	    35958	     	     1448
        0	     	        0	     	    45107	     	    38355	     	     1502
        0	     	        0	     	    43869	     	    36830	     	     1498
        0	     	        0	     	    44704	     	    37057	     	     1481
        0	     	        0	     	    44539	     	    36755	     	     1515
        0	     	        0	     	    44293	     	    36004	     	     1417
        0	     	        0	     	    44156	     	    35033	     	     1443
        0	     	        0	     	    44493	     	    37852	     	     1554
        0	     	        0	     	    44419	     	    37200	     	     1408
        0	     	        0	     	    45907	     	    43160	     	     1475
        0	     	        0	     	    44191	     	    36892	     	     1443
        0	     	        0	     	    43843	     	    36904	     	     1494
        0	     	        0	     	    44044	     	    36353	     	     1503
        0	     	        0	     	    44599	     	    36862	     	     1446
        0	     	        0	     	    43619	     	    35723	     	     1420
        0	     	        0	     	    44597	     	    37238	     	     1473
        0	     	        0	     	    44032	     	    38334	     	     1479
        0	     	        0	     	    45006	     	    37588	     	     1524
        0	     	        0	     	    44007	     	    37041	     	     1508
        0	     	        0	     	    43787	     	    35990	     	     1487
        0	     	        0	     	    44571	     	    36912	     	     1478
        0	     	        0	     	    44258	     	    36427	     	     1472
        0	     	        0	     	    43804	     	    37760	     	     1479
        0	     	        0	     	    44376	     	    36987	     	     1480
        0	     	        0	     	    44502	     	    36522	     	     1513
        0	     	        0	     	    44432	     	    37091	     	     1506
        0	     	        0	     	    44062	     	    36468	     	     1496
        0	     	        0	     	    44847	     	    36138	     	     1378
        0	     	        0	     	    45114	     	    42103	     	     1413
        0	     	        0	     	    43813	     	    36001	     	     1463
        0	     	        0	     	    44265	     	    36072	     	     1424
        0	     	        0	     	    45160	     	    35826	     	     1508
        0	     	        0	     	    45234	     	    37106	     	     1471
        0	     	        0	     	    44281	     	    36333	     	     1461
        0	     	        0	     	    44607	     	    36347	     	     1497
        0	     	        0	     	    44076	     	    36656	     	     1517
        0	     	        0	     	    44365	     	    37352	     	     1462
        0	     	        0	     	    44352	     	    36306	     	     1529
        0	     	        0	     	    43891	     	    35672	     	     1406
        0	     	        0	     	    44319	     	    37309	     	     1463
        0	     	        0	     	    44664	     	    37498	     	     1470
        0	     	        0	     	    44863	     	    36882	     	     1425
        0	     	        0	     	    45307	     	    40674	     	     1467
        0	     	        0	     	    43473	     	    36471	     	     1421
        0	     	        0	     	    44279	     	    35763	     	     1472
        0	     	        0	     	    43115	     	    36731	     	     1505
        0	     	        0	     	    44960	     	    38055	     	     1495
        0	     	        0	     	    44461	     	    36530	     	     1441
        0	     	        0	     	    44566	     	    36076	     	     1450
        0	     	        0	     	    44359	     	    36947	     	     1523
        0	     	        0	     	    44182	     	    36480	     	     1526
        0	     	        0	     	    44642	     	    37124	     	     1347
        0	     	        0	     	    44317	     	    36647	     	     1429
        0	     	        0	     	    44205	     	    36443	     	     1532
        0	     	        0	     	    44192	     	    36582	     	     1460
        0	     	        0	     	    43865	     	    35692	     	     1392
        0	     	        0	     	    44406	     	    36617	     	     1474
        0	     	        0	     	    44570	     	    36417	     	     1471
        0	     	        0	     	    43926	     	    37032	     	     1478
        0	     	        0	     	    44162	     	    36191	     	     1483
        0	     	        0	     	    44609	     	    37271	     	     1494
        0	     	        0	     	    44395	     	    37092	     	     1500
        0	     	        0	     	    43401	     	    36522	     	     1432
        0	     	        0	     	    44395	     	    36090	     	     1436
        0	     	        0	     	    45692	     	    37276	     	     1443
        0	     	        0	     	    44402	     	    37150	     	     1449
        0	     	        0	     	    44589	     	    37600	     	     1429
        0	     	        0	     	    43735	     	    36351	     	     1438
        0	     	        0	     	    44642	     	    36745	     	     1472
        0	     	        0	     	    44119	     	    36648	     	     1497
        0	     	        0	     	    43958	     	    36210	     	     1484
        0	     	        0	     	    43799	     	    36433	     	     1424
        0	     	        0	     	    44390	     	    37771	     	     1480
        0	     	        0	     	    43590	     	    34542	     	     1437
        0	     	        0	     	    44389	     	    37361	     	     1444
        0	     	        0	     	    44652	     	    35753	     	     1427
        0	     	        0	     	    44062	     	    37075	     	     1386
        0	     	        0	     	    44240	     	    37121	     	     1481
        0	     	        0	     	    44342	     	    36186	     	     1529
        0	     	        0	     	    44208	     	    37154	     	     1436
        0	     	        0	     	    44213	     	    38207	     	     1513
        0	     	        0	     	    44183	     	    36852	     	     1412
        0	     	        0	     	    43882	     	    34812	     	     1459
        0	     	        0	     	    43837	     	    37819	     	     1512
        0	     	        0	     	    43813	     	    37521	     	     1461
        0	     	        0	     	    44216	     	    37625	     	     1512
        0	     	        0	     	    44240	     	    36614	     	     1481
        0	     	        0	     	    44149	     	    38096	     	     1444
        0	     	        0	     	    43934	     	    37086	     	     1488
        0	     	        0	     	    44636	     	    36508	     	     1432
        0	     	        0	     	    44349	     	    36950	     	     1555
        0	     	        0	     	    44234	     	    36286	     	     1489
        0	     	        0	     	    43705	     	    36741	     	     1467
        0	     	        0	     	    44563	     	    35787	     	     1512
