Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    47238	     	    32239	     	     2324
        0	     	        0	     	    46223	     	    32695	     	     2323
        0	     	        0	     	    46850	     	    31647	     	     2395
        0	     	        0	     	    46850	     	    33461	     	     2365
        0	     	        0	     	    46434	     	    32631	     	     2362
        0	     	        0	     	    46531	     	    32486	     	     2282
        0	     	        0	     	    48042	     	    37000	     	     2345
        0	     	        0	     	    45816	     	    33277	     	     2376
        0	     	        0	     	    48679	     	    36502	     	     2351
        0	     	        0	     	    46768	     	    31975	     	     2300
        0	     	        0	     	    47575	     	    31743	     	     2428
        0	     	        0	     	    46775	     	    31980	     	     2367
        0	     	        0	     	    45735	     	    33696	     	     2457
        0	     	        0	     	    45926	     	    31404	     	     2353
        0	     	        0	     	    49175	     	    36930	     	     2294
        0	     	        0	     	    46934	     	    32518	     	     2335
        0	     	        0	     	    46680	     	    33074	     	     2368
        0	     	        0	     	    46564	     	    32326	     	     2407
        0	     	        0	     	    48473	     	    35957	     	     2368
        0	     	        0	     	    46965	     	    33370	     	     2472
Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    45316	     	    30983	     	     2302
        0	     	        0	     	    45820	     	    33089	     	     2430
        0	     	        0	     	    47697	     	    36696	     	     2327
        0	     	        0	     	    45695	     	    32104	     	     2309
        0	     	        0	     	    47475	     	    36903	     	     2374
        0	     	        0	     	    45350	     	    31154	     	     2359
        0	     	        0	     	    44942	     	    32607	     	     2351
        0	     	        0	     	    45325	     	    32148	     	     2433
        0	     	        0	     	    45295	     	    32660	     	     2371
        0	     	        0	     	    45483	     	    32033	     	     2281
        0	     	        0	     	    45785	     	    32298	     	     2229
        0	     	        0	     	    45729	     	    31422	     	     2370
        0	     	        0	     	    45818	     	    32196	     	     2355
        0	     	        0	     	    46072	     	    32105	     	     2307
        0	     	        0	     	    45690	     	    32272	     	     2302
        0	     	        0	     	    45801	     	    32373	     	     2270
        0	     	        0	     	    47408	     	    36277	     	     2338
        0	     	        0	     	    45303	     	    33254	     	     2348
        0	     	        0	     	    45443	     	    33303	     	     2350
        0	     	        0	     	    45656	     	    33770	     	     2424
