Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    52639	     	     4052	     	     2224
        0	     	        0	     	    52654	     	     4493	     	     2292
        0	     	        0	     	    52276	     	     4477	     	     2279
        0	     	        0	     	    52560	     	     4299	     	     2362
        0	     	        0	     	    52935	     	     3641	     	     2291
        0	     	        0	     	    52820	     	     4952	     	     2270
        0	     	        0	     	    52750	     	     4672	     	     2275
        0	     	        0	     	    52955	     	     5386	     	     2239
        0	     	        0	     	    52314	     	     6670	     	     2374
        0	     	        0	     	    53693	     	     7000	     	     2300
        0	     	        0	     	    54181	     	     7539	     	     2267
        0	     	        0	     	    52295	     	     6938	     	     2287
        0	     	        0	     	    53131	     	     6768	     	     2252
        0	     	        0	     	    53288	     	     7888	     	     2322
        0	     	        0	     	    53939	     	     7998	     	     2356
        0	     	        0	     	    53567	     	     6242	     	     2273
        0	     	        0	     	    53438	     	     6988	     	     2284
        0	     	        0	     	    53747	     	     6287	     	     2407
        0	     	        0	     	    52697	     	     8294	     	     2288
        0	     	        0	     	    53588	     	     8233	     	     2260
        0	     	        0	     	    54040	     	     7606	     	     2225
        0	     	        0	     	    53443	     	     7542	     	     2371
        0	     	        0	     	    53312	     	     8868	     	     2328
        0	     	        0	     	    52873	     	     6704	     	     2281
        0	     	        0	     	    53909	     	     8337	     	     2422
        0	     	        0	     	    53971	     	     9215	     	     2288
        0	     	        0	     	    53589	     	     9414	     	     2289
        0	     	        0	     	    53868	     	     8865	     	     2318
        0	     	        0	     	    53942	     	     9355	     	     2355
        0	     	        0	     	    54457	     	     9001	     	     2331
        0	     	        0	     	    53881	     	     9307	     	     2224
        0	     	        0	     	    54385	     	    10228	     	     2297
        0	     	        0	     	    54682	     	     9983	     	     2315
        0	     	        0	     	    53452	     	     9578	     	     2237
        0	     	        0	     	    54198	     	    11357	     	     2267
        0	     	        0	     	    55420	     	    11071	     	     2391
        0	     	        0	     	    54148	     	    11162	     	     2360
        0	     	        0	     	    54375	     	    11568	     	     2369
        0	     	        0	     	    54904	     	    11435	     	     2343
        0	     	        0	     	    55833	     	    11371	     	     2228
        0	     	        0	     	    54028	     	    12203	     	     2325
        0	     	        0	     	    54658	     	    12207	     	     2402
        0	     	        0	     	    55013	     	    13293	     	     2352
        0	     	        0	     	    54886	     	    12793	     	     2332
        0	     	        0	     	    55437	     	    12041	     	     2343
        0	     	        0	     	    56775	     	    15361	     	     2344
        0	     	        0	     	    55237	     	    12731	     	     2361
        0	     	        0	     	    54268	     	    11392	     	     2252
        0	     	        0	     	    54592	     	    13333	     	     2244
        0	     	        0	     	    54866	     	    13514	     	     2398
        0	     	        0	     	    55306	     	    13334	     	     2278
        0	     	        0	     	    54338	     	    13557	     	     2377
        0	     	        0	     	    55194	     	    13067	     	     2425
        0	     	        0	     	    55246	     	    13644	     	     2463
        0	     	        0	     	    55544	     	    12983	     	     2327
        0	     	        0	     	    55454	     	    13886	     	     2314
