Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    37870	     	    37568	     	     1350
        0	     	        0	     	    37699	     	    36258	     	     1390
        0	     	        0	     	    38109	     	    36523	     	     1347
        0	     	        0	     	    38055	     	    37300	     	     1415
        0	     	        0	     	    38112	     	    36270	     	     1366
        0	     	        0	     	    38112	     	    37294	     	     1408
        0	     	        0	     	    39155	     	    40225	     	     1402
        0	     	        0	     	    37696	     	    36538	     	     1389
        0	     	        0	     	    38072	     	    36475	     	     1420
        0	     	        0	     	    38335	     	    37926	     	     1373
        0	     	        0	     	    37619	     	    35836	     	     1317
        0	     	        0	     	    38448	     	    37199	     	     1370
        0	     	        0	     	    38556	     	    35858	     	     1413
        0	     	        0	     	    38131	     	    38010	     	     1315
        0	     	        0	     	    37904	     	    37555	     	     1406
        0	     	        0	     	    39440	     	    38285	     	     1384
        0	     	        0	     	    39169	     	    40265	     	     1364
        0	     	        0	     	    38335	     	    36579	     	     1356
        0	     	        0	     	    38177	     	    37545	     	     1425
        0	     	        0	     	    38110	     	    36530	     	     1374
        0	     	        0	     	    38331	     	    34439	     	     1322
        0	     	        0	     	    37751	     	    36700	     	     1368
        0	     	        0	     	    39019	     	    36863	     	     1332
        0	     	        0	     	    38497	     	    36662	     	     1405
        0	     	        0	     	    38178	     	    36815	     	     1398
        0	     	        0	     	    37907	     	    36448	     	     1357
        0	     	        0	     	    39394	     	    40840	     	     1428
        0	     	        0	     	    37952	     	    35591	     	     1420
        0	     	        0	     	    39021	     	    37218	     	     1473
        0	     	        0	     	    37850	     	    37728	     	     1328
        0	     	        0	     	    38725	     	    38911	     	     1348
        0	     	        0	     	    38539	     	    37292	     	     1349
        0	     	        0	     	    37705	     	    36510	     	     1362
        0	     	        0	     	    38158	     	    37493	     	     1426
        0	     	        0	     	    38107	     	    35816	     	     1391
        0	     	        0	     	    38084	     	    37220	     	     1371
        0	     	        0	     	    39887	     	    41728	     	     1427
        0	     	        0	     	    38282	     	    36006	     	     1402
        0	     	        0	     	    38176	     	    37114	     	     1443
        0	     	        0	     	    38018	     	    36889	     	     1410
        0	     	        0	     	    38408	     	    37826	     	     1425
        0	     	        0	     	    38240	     	    36943	     	     1443
        0	     	        0	     	    38152	     	    36467	     	     1380
        0	     	        0	     	    38335	     	    37621	     	     1386
        0	     	        0	     	    39314	     	    41244	     	     1460
        0	     	        0	     	    37462	     	    32880	     	     1442
        0	     	        0	     	    37817	     	    37273	     	     1363
        0	     	        0	     	    38326	     	    36678	     	     1353
        0	     	        0	     	    38453	     	    36091	     	     1412
        0	     	        0	     	    38429	     	    36207	     	     1351
        0	     	        0	     	    38016	     	    36342	     	     1367
        0	     	        0	     	    38298	     	    37161	     	     1343
        0	     	        0	     	    37740	     	    36490	     	     1365
        0	     	        0	     	    38858	     	    37781	     	     1428
        0	     	        0	     	    38226	     	    37381	     	     1409
        0	     	        0	     	    39270	     	    40392	     	     1343
        0	     	        0	     	    38592	     	    36389	     	     1402
        0	     	        0	     	    37956	     	    36390	     	     1422
        0	     	        0	     	    38195	     	    35993	     	     1380
        0	     	        0	     	    38204	     	    36487	     	     1408
        0	     	        0	     	    37656	     	    37410	     	     1363
        0	     	        0	     	    37695	     	    35732	     	     1372
        0	     	        0	     	    38962	     	    41522	     	     1417
        0	     	        0	     	    38161	     	    35556	     	     1406
        0	     	        0	     	    37860	     	    36759	     	     1353
        0	     	        0	     	    38058	     	    37802	     	     1483
        0	     	        0	     	    38058	     	    36454	     	     1392
        0	     	        0	     	    37721	     	    36718	     	     1355
        0	     	        0	     	    38044	     	    36215	     	     1357
        0	     	        0	     	    38104	     	    38009	     	     1381
        0	     	        0	     	    38321	     	    36953	     	     1382
        0	     	        0	     	    38084	     	    37337	     	     1319
        0	     	        0	     	    37690	     	    36435	     	     1350
        0	     	        0	     	    38085	     	    35947	     	     1369
        0	     	        0	     	    39239	     	    40942	     	     1410
        0	     	        0	     	    38146	     	    36836	     	     1412
        0	     	        0	     	    38072	     	    34745	     	     1391
        0	     	        0	     	    38906	     	    35119	     	     1409
        0	     	        0	     	    38247	     	    36754	     	     1338
        0	     	        0	     	    38286	     	    36344	     	     1327
        0	     	        0	     	    39330	     	    40522	     	     1343
        0	     	        0	     	    38407	     	    36939	     	     1329
        0	     	        0	     	    38180	     	    37571	     	     1379
        0	     	        0	     	    38036	     	    35058	     	     1387
        0	     	        0	     	    39498	     	    40799	     	     1413
        0	     	        0	     	    38354	     	    37044	     	     1366
        0	     	        0	     	    39010	     	    40689	     	     1384
        0	     	        0	     	    39094	     	    37063	     	     1381
        0	     	        0	     	    38180	     	    37541	     	     1396
        0	     	        0	     	    38072	     	    36291	     	     1412
        0	     	        0	     	    38294	     	    37198	     	     1368
        0	     	        0	     	    37788	     	    37466	     	     1431
        0	     	        0	     	    38053	     	    37598	     	     1442
        0	     	        0	     	    38070	     	    36761	     	     1381
        0	     	        0	     	    38085	     	    37304	     	     1372
        0	     	        0	     	    37957	     	    38630	     	     1372
        0	     	        0	     	    38083	     	    36667	     	     1436
        0	     	        0	     	    38289	     	    36847	     	     1395
        0	     	        0	     	    38362	     	    35648	     	     1355
        0	     	        0	     	    37918	     	    37119	     	     1378
        0	     	        0	     	    38170	     	    36161	     	     1383
        0	     	        0	     	    38650	     	    37223	     	     1450
        0	     	        0	     	    37852	     	    36735	     	     1357
        0	     	        0	     	    38289	     	    35540	     	     1318
        0	     	        0	     	    39280	     	    40933	     	     1378
        0	     	        0	     	    38108	     	    36622	     	     1341
        0	     	        0	     	    38413	     	    36936	     	     1401
        0	     	        0	     	    37873	     	    37995	     	     1372
        0	     	        0	     	    38211	     	    36372	     	     1378
        0	     	        0	     	    38573	     	    37616	     	     1363
        0	     	        0	     	    38655	     	    36259	     	     1330
        0	     	        0	     	    38563	     	    36167	     	     1403
        0	     	        0	     	    38094	     	    37039	     	     1381
        0	     	        0	     	    37765	     	    34525	     	     1435
        0	     	        0	     	    39955	     	    40887	     	     1400
        0	     	        0	     	    37679	     	    33381	     	     1421
        0	     	        0	     	    38374	     	    36336	     	     1469
        0	     	        0	     	    38311	     	    35426	     	     1400
        0	     	        0	     	    38458	     	    36969	     	     1318
        0	     	        0	     	    37993	     	    36422	     	     1423
        0	     	        0	     	    38579	     	    36440	     	     1411
        0	     	        0	     	    38463	     	    36493	     	     1401
        0	     	        0	     	    39590	     	    40386	     	     1450
        0	     	        0	     	    38448	     	    36285	     	     1377
        0	     	        0	     	    39197	     	    36898	     	     1397
        0	     	        0	     	    38542	     	    36637	     	     1393
        0	     	        0	     	    39706	     	    41422	     	     1405
        0	     	        0	     	    38593	     	    35357	     	     1324
        0	     	        0	     	    38351	     	    37504	     	     1451
        0	     	        0	     	    38673	     	    36992	     	     1337
        0	     	        0	     	    38653	     	    36934	     	     1372
