Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    47654	     	    38808	     	     2429
        0	     	        0	     	    48754	     	    39367	     	     2453
        0	     	        0	     	    47645	     	    38193	     	     2352
        0	     	        0	     	    47700	     	    38210	     	     2367
        0	     	        0	     	    49327	     	    42384	     	     2438
        0	     	        0	     	    47686	     	    38658	     	     2496
        0	     	        0	     	    47950	     	    38840	     	     2334
        0	     	        0	     	    48110	     	    39871	     	     2343
        0	     	        0	     	    48370	     	    38947	     	     2361
        0	     	        0	     	    48140	     	    38294	     	     2460
        0	     	        0	     	    48601	     	    39258	     	     2379
        0	     	        0	     	    47799	     	    38887	     	     2410
        0	     	        0	     	    47816	     	    37240	     	     2400
        0	     	        0	     	    47780	     	    39021	     	     2445
        0	     	        0	     	    48312	     	    38764	     	     2383
        0	     	        0	     	    48033	     	    39320	     	     2474
        0	     	        0	     	    48148	     	    38542	     	     2428
        0	     	        0	     	    47569	     	    38248	     	     2320
        0	     	        0	     	    47585	     	    39241	     	     2376
        0	     	        0	     	    47452	     	    40268	     	     2385
        0	     	        0	     	    48063	     	    41508	     	     2405
        0	     	        0	     	    47144	     	    38730	     	     2386
        0	     	        0	     	    47677	     	    38974	     	     2443
        0	     	        0	     	    47324	     	    38126	     	     2378
        0	     	        0	     	    48160	     	    38630	     	     2377
        0	     	        0	     	    48160	     	    37231	     	     2354
        0	     	        0	     	    47169	     	    38219	     	     2419
        0	     	        0	     	    47603	     	    38507	     	     2404
        0	     	        0	     	    47879	     	    39178	     	     2440
        0	     	        0	     	    47448	     	    38412	     	     2433
        0	     	        0	     	    48274	     	    39137	     	     2360
        0	     	        0	     	    48206	     	    38807	     	     2378
        0	     	        0	     	    47917	     	    38696	     	     2386
        0	     	        0	     	    48491	     	    38983	     	     2443
        0	     	        0	     	    50017	     	    44107	     	     2425
        0	     	        0	     	    47805	     	    38440	     	     2432
        0	     	        0	     	    49463	     	    42890	     	     2406
        0	     	        0	     	    48008	     	    38199	     	     2507
        0	     	        0	     	    47781	     	    39350	     	     2389
        0	     	        0	     	    48116	     	    38622	     	     2401
        0	     	        0	     	    47990	     	    38588	     	     2396
        0	     	        0	     	    47607	     	    38517	     	     2380
        0	     	        0	     	    47158	     	    38460	     	     2400
        0	     	        0	     	    47548	     	    39783	     	     2351
        0	     	        0	     	    47671	     	    39648	     	     2351
        0	     	        0	     	    46935	     	    38580	     	     2349
        0	     	        0	     	    49344	     	    42882	     	     2441
        0	     	        0	     	    47459	     	    38215	     	     2513
        0	     	        0	     	    48428	     	    39374	     	     2383
        0	     	        0	     	    47859	     	    38837	     	     2305
        0	     	        0	     	    47998	     	    38384	     	     2370
        0	     	        0	     	    47850	     	    39307	     	     2446
        0	     	        0	     	    48040	     	    39709	     	     2390
        0	     	        0	     	    47838	     	    39725	     	     2452
        0	     	        0	     	    47427	     	    39735	     	     2364
        0	     	        0	     	    47223	     	    39472	     	     2384
        0	     	        0	     	    48947	     	    43641	     	     2463
        0	     	        0	     	    47593	     	    38464	     	     2498
        0	     	        0	     	    47879	     	    38210	     	     2403
        0	     	        0	     	    48180	     	    39281	     	     2433
        0	     	        0	     	    47880	     	    37188	     	     2394
        0	     	        0	     	    47631	     	    38455	     	     2410
        0	     	        0	     	    47823	     	    39206	     	     2413
        0	     	        0	     	    47548	     	    38932	     	     2486
        0	     	        0	     	    48823	     	    38965	     	     2484
        0	     	        0	     	    47541	     	    39591	     	     2430
        0	     	        0	     	    49406	     	    42768	     	     2446
        0	     	        0	     	    47657	     	    39728	     	     2317
        0	     	        0	     	    47862	     	    39498	     	     2463
        0	     	        0	     	    47955	     	    38402	     	     2396
        0	     	        0	     	    47393	     	    38975	     	     2473
        0	     	        0	     	    47657	     	    38907	     	     2389
        0	     	        0	     	    48072	     	    39604	     	     2470
        0	     	        0	     	    48542	     	    37824	     	     2406
        0	     	        0	     	    47469	     	    38265	     	     2423
        0	     	        0	     	    47257	     	    39583	     	     2388
        0	     	        0	     	    49451	     	    43132	     	     2396
        0	     	        0	     	    47678	     	    38331	     	     2459
        0	     	        0	     	    47614	     	    38990	     	     2397
        0	     	        0	     	    47703	     	    40052	     	     2466
        0	     	        0	     	    48053	     	    37938	     	     2436
        0	     	        0	     	    47885	     	    38553	     	     2442
        0	     	        0	     	    50839	     	    45672	     	     2462
        0	     	        0	     	    48539	     	    38336	     	     2395
        0	     	        0	     	    48093	     	    39174	     	     2314
        0	     	        0	     	    49058	     	    37814	     	     2380
        0	     	        0	     	    48487	     	    39249	     	     2391
        0	     	        0	     	    47706	     	    38705	     	     2419
        0	     	        0	     	    48114	     	    39712	     	     2468
        0	     	        0	     	    47335	     	    38378	     	     2337
        0	     	        0	     	    48075	     	    39453	     	     2446
        0	     	        0	     	    47739	     	    38401	     	     2440
        0	     	        0	     	    47226	     	    40064	     	     2368
        0	     	        0	     	    47436	     	    38626	     	     2372
        0	     	        0	     	    48169	     	    38867	     	     2460
        0	     	        0	     	    47889	     	    38888	     	     2440
        0	     	        0	     	    46963	     	    38836	     	     2350
        0	     	        0	     	    48002	     	    38495	     	     2389
        0	     	        0	     	    47421	     	    38685	     	     2441
        0	     	        0	     	    48117	     	    39631	     	     2398
        0	     	        0	     	    47851	     	    38015	     	     2383
        0	     	        0	     	    47581	     	    38960	     	     2474
        0	     	        0	     	    47689	     	    38853	     	     2480
        0	     	        0	     	    47662	     	    37309	     	     2309
        0	     	        0	     	    47906	     	    38670	     	     2482
        0	     	        0	     	    48118	     	    37619	     	     2377
        0	     	        0	     	    48092	     	    38810	     	     2483
        0	     	        0	     	    47778	     	    38686	     	     2416
        0	     	        0	     	    49611	     	    43736	     	     2472
        0	     	        0	     	    47567	     	    38550	     	     2534
        0	     	        0	     	    48092	     	    38433	     	     2399
        0	     	        0	     	    48702	     	    41708	     	     2335
        0	     	        0	     	    48149	     	    38930	     	     2389
        0	     	        0	     	    48171	     	    38947	     	     2442
        0	     	        0	     	    49555	     	    44331	     	     2477
        0	     	        0	     	    48248	     	    39585	     	     2338
        0	     	        0	     	    49125	     	    43680	     	     2492
        0	     	        0	     	    48809	     	    38678	     	     2449
        0	     	        0	     	    47548	     	    37629	     	     2392
        0	     	        0	     	    48175	     	    38497	     	     2398
        0	     	        0	     	    47620	     	    38606	     	     2342
        0	     	        0	     	    47888	     	    37888	     	     2412
        0	     	        0	     	    48189	     	    38102	     	     2347
        0	     	        0	     	    48000	     	    38171	     	     2440
        0	     	        0	     	    47823	     	    38532	     	     2421
        0	     	        0	     	    47970	     	    38135	     	     2406
        0	     	        0	     	    48986	     	    38150	     	     2422
        0	     	        0	     	    47720	     	    38590	     	     2448
        0	     	        0	     	    47617	     	    39146	     	     2424
        0	     	        0	     	    47603	     	    39839	     	     2370
        0	     	        0	     	    47913	     	    38530	     	     2394
        0	     	        0	     	    48194	     	    40464	     	     2471
        0	     	        0	     	    47960	     	    38531	     	     2543
        0	     	        0	     	    47743	     	    37943	     	     2466
        0	     	        0	     	    50197	     	    42554	     	     2417
        0	     	        0	     	    47849	     	    37995	     	     2413
        0	     	        0	     	    48018	     	    38589	     	     2479
        0	     	        0	     	    47441	     	    38487	     	     2520
        0	     	        0	     	    47474	     	    38203	     	     2421
        0	     	        0	     	    47952	     	    39022	     	     2468
        0	     	        0	     	    47837	     	    38479	     	     2386
        0	     	        0	     	    48846	     	    39752	     	     2364
        0	     	        0	     	    47640	     	    39922	     	     2440
        0	     	        0	     	    47634	     	    38374	     	     2461
        0	     	        0	     	    48819	     	    42807	     	     2479
        0	     	        0	     	    47516	     	    38602	     	     2444
        0	     	        0	     	    47581	     	    37783	     	     2493
        0	     	        0	     	    47353	     	    38419	     	     2421
        0	     	        0	     	    47987	     	    39655	     	     2427
        0	     	        0	     	    48667	     	    38934	     	     2406
        0	     	        0	     	    50126	     	    42976	     	     2483
        0	     	        0	     	    48087	     	    39126	     	     2440
        0	     	        0	     	    47054	     	    39622	     	     2311
        0	     	        0	     	    48294	     	    40381	     	     2463
        0	     	        0	     	    49951	     	    43363	     	     2341
        0	     	        0	     	    47605	     	    39760	     	     2436
        0	     	        0	     	    48281	     	    39147	     	     2350
        0	     	        0	     	    48098	     	    38121	     	     2462
        0	     	        0	     	    47610	     	    38686	     	     2431
        0	     	        0	     	    47826	     	    39088	     	     2340
        0	     	        0	     	    47527	     	    39494	     	     2467
        0	     	        0	     	    47208	     	    39117	     	     2357
        0	     	        0	     	    47774	     	    38546	     	     2377
        0	     	        0	     	    49434	     	    41485	     	     2514
        0	     	        0	     	    49386	     	    43412	     	     2437
        0	     	        0	     	    48180	     	    38706	     	     2413
        0	     	        0	     	    48153	     	    39022	     	     2421
        0	     	        0	     	    48118	     	    38476	     	     2490
        0	     	        0	     	    47803	     	    38783	     	     2393
        0	     	        0	     	    48332	     	    38171	     	     2338
        0	     	        0	     	    47052	     	    38350	     	     2459
        0	     	        0	     	    47416	     	    39101	     	     2481
        0	     	        0	     	    47828	     	    39360	     	     2329
        0	     	        0	     	    48331	     	    39017	     	     2334
        0	     	        0	     	    49891	     	    44060	     	     2426
        0	     	        0	     	    47209	     	    38477	     	     2322
        0	     	        0	     	    48486	     	    39837	     	     2298
        0	     	        0	     	    47857	     	    37953	     	     2381
        0	     	        0	     	    47198	     	    39044	     	     2289
        0	     	        0	     	    47932	     	    38868	     	     2344
        0	     	        0	     	    48115	     	    38058	     	     2475
        0	     	        0	     	    47646	     	    38808	     	     2458
        0	     	        0	     	    47484	     	    38257	     	     2383
        0	     	        0	     	    47926	     	    38633	     	     2428
        0	     	        0	     	    49459	     	    41919	     	     2365
        0	     	        0	     	    48211	     	    39275	     	     2423
        0	     	        0	     	    49230	     	    42746	     	     2394
        0	     	        0	     	    48315	     	    38950	     	     2532
        0	     	        0	     	    48531	     	    39362	     	     2422
        0	     	        0	     	    47792	     	    37984	     	     2387
        0	     	        0	     	    47542	     	    38095	     	     2345
        0	     	        0	     	    47699	     	    38589	     	     2434
        0	     	        0	     	    47688	     	    39414	     	     2486
        0	     	        0	     	    47443	     	    38980	     	     2414
        0	     	        0	     	    47902	     	    39046	     	     2370
        0	     	        0	     	    48497	     	    38383	     	     2408
        0	     	        0	     	    47695	     	    39148	     	     2420
        0	     	        0	     	    48406	     	    39499	     	     2436
        0	     	        0	     	    48375	     	    38957	     	     2504
        0	     	        0	     	    48010	     	    38120	     	     2377
