Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    62664	     	    34112	     	     2537
        0	     	        0	     	    61825	     	    31925	     	     2518
        0	     	        0	     	    62017	     	    32936	     	     2564
        0	     	        0	     	    62776	     	    31624	     	     2549
        0	     	        0	     	    62643	     	    32575	     	     2623
        0	     	        0	     	    62155	     	    32403	     	     2517
        0	     	        0	     	    61645	     	    31837	     	     2550
        0	     	        0	     	    62450	     	    33070	     	     2585
        0	     	        0	     	    61925	     	    33692	     	     2514
        0	     	        0	     	    61834	     	    31111	     	     2554
        0	     	        0	     	    62565	     	    31990	     	     2592
        0	     	        0	     	    62192	     	    32363	     	     2545
        0	     	        0	     	    61898	     	    31518	     	     2525
        0	     	        0	     	    62202	     	    32489	     	     2620
        0	     	        0	     	    62800	     	    31937	     	     2535
        0	     	        0	     	    63012	     	    32958	     	     2544
        0	     	        0	     	    62389	     	    32312	     	     2539
        0	     	        0	     	    61183	     	    32244	     	     2550
        0	     	        0	     	    62143	     	    32257	     	     2571
        0	     	        0	     	    62262	     	    32192	     	     2582
        0	     	        0	     	    63911	     	    37470	     	     2470
        0	     	        0	     	    62148	     	    32390	     	     2443
        0	     	        0	     	    61230	     	    32564	     	     2576
        0	     	        0	     	    62067	     	    32456	     	     2546
        0	     	        0	     	    63615	     	    36643	     	     2624
        0	     	        0	     	    61882	     	    32515	     	     2547
        0	     	        0	     	    62623	     	    33780	     	     2571
        0	     	        0	     	    63716	     	    35994	     	     2635
        0	     	        0	     	    62369	     	    33028	     	     2559
        0	     	        0	     	    62400	     	    33093	     	     2541
        0	     	        0	     	    61814	     	    32558	     	     2579
        0	     	        0	     	    62317	     	    32986	     	     2586
        0	     	        0	     	    63445	     	    32319	     	     2607
        0	     	        0	     	    62017	     	    33903	     	     2601
        0	     	        0	     	    62327	     	    33875	     	     2660
        0	     	        0	     	    62964	     	    34101	     	     2555
        0	     	        0	     	    62342	     	    32773	     	     2523
        0	     	        0	     	    62434	     	    32351	     	     2597
        0	     	        0	     	    63938	     	    36487	     	     2665
        0	     	        0	     	    62023	     	    32372	     	     2573
        0	     	        0	     	    64281	     	    36289	     	     2649
        0	     	        0	     	    62735	     	    31943	     	     2502
        0	     	        0	     	    61995	     	    30916	     	     2562
        0	     	        0	     	    62767	     	    31974	     	     2609
        0	     	        0	     	    62120	     	    32014	     	     2577
        0	     	        0	     	    62254	     	    30961	     	     2502
        0	     	        0	     	    61769	     	    32406	     	     2597
        0	     	        0	     	    62937	     	    32048	     	     2525
        0	     	        0	     	    62262	     	    32372	     	     2521
        0	     	        0	     	    61913	     	    32378	     	     2549
        0	     	        0	     	    61643	     	    33021	     	     2528
        0	     	        0	     	    62072	     	    32012	     	     2583
        0	     	        0	     	    62812	     	    32342	     	     2580
        0	     	        0	     	    62107	     	    33008	     	     2433
        0	     	        0	     	    63836	     	    36550	     	     2615
        0	     	        0	     	    62366	     	    31985	     	     2574
        0	     	        0	     	    61429	     	    33025	     	     2553
        0	     	        0	     	    60443	     	    29827	     	     2646
        0	     	        0	     	    64555	     	    36677	     	     2564
        0	     	        0	     	    62335	     	    32818	     	     2553
        0	     	        0	     	    62754	     	    32455	     	     2554
        0	     	        0	     	    61409	     	    32001	     	     2551
        0	     	        0	     	    62059	     	    32541	     	     2630
        0	     	        0	     	    62523	     	    31918	     	     2496
        0	     	        0	     	    62372	     	    32975	     	     2568
        0	     	        0	     	    62536	     	    33189	     	     2593
        0	     	        0	     	    62527	     	    32249	     	     2580
        0	     	        0	     	    63279	     	    34306	     	     2591
        0	     	        0	     	    61847	     	    32338	     	     2564
        0	     	        0	     	    62403	     	    31197	     	     2464
        0	     	        0	     	    62108	     	    32100	     	     2569
        0	     	        0	     	    61702	     	    32610	     	     2450
        0	     	        0	     	    62354	     	    32354	     	     2642
        0	     	        0	     	    61388	     	    31626	     	     2489
        0	     	        0	     	    62811	     	    32507	     	     2450
        0	     	        0	     	    64172	     	    33345	     	     2533
        0	     	        0	     	    62547	     	    31834	     	     2550
        0	     	        0	     	    62063	     	    34083	     	     2489
        0	     	        0	     	      398	     	    36498	     	     2579
        0	     	        0	     	    62526	     	    32527	     	     2569
        0	     	        0	     	    62568	     	    31918	     	     2576
        0	     	        0	     	    62925	     	    31317	     	     2477
        0	     	        0	     	    62778	     	    32010	     	     2579
        0	     	        0	     	    63084	     	    32193	     	     2640
        0	     	        0	     	    62284	     	    31771	     	     2641
        0	     	        0	     	    63623	     	    32825	     	     2596
        0	     	        0	     	    63173	     	    31981	     	     2580
        0	     	        0	     	    62630	     	    30976	     	     2487
        0	     	        0	     	    62770	     	    31358	     	     2551
        0	     	        0	     	    63188	     	    32801	     	     2497
        0	     	        0	     	    63461	     	    32521	     	     2646
        0	     	        0	     	    62740	     	    31615	     	     2569
        0	     	        0	     	    63246	     	    32124	     	     2575
        0	     	        0	     	    63319	     	    32306	     	     2542
        0	     	        0	     	    64176	     	    32638	     	     2506
        0	     	        0	     	    62765	     	    31451	     	     2611
        0	     	        0	     	    62578	     	    30831	     	     2615
        0	     	        0	     	    63782	     	    31519	     	     2519
        0	     	        0	     	    62930	     	    31775	     	     2558
        0	     	        0	     	    62602	     	    32167	     	     2626
        0	     	        0	     	    63127	     	    32083	     	     2566
        0	     	        0	     	    63403	     	    32378	     	     2535
        0	     	        0	     	    63297	     	    33377	     	     2578
        0	     	        0	     	    64031	     	    32744	     	     2607
        0	     	        0	     	    63044	     	    33149	     	     2525
        0	     	        0	     	    63294	     	    32271	     	     2601
        0	     	        0	     	      422	     	    37526	     	     2649
        0	     	        0	     	    62835	     	    32722	     	     2644
        0	     	        0	     	    63416	     	    31364	     	     2631
        0	     	        0	     	    63043	     	    31302	     	     2617
        0	     	        0	     	    65187	     	    36250	     	     2626
        0	     	        0	     	    61668	     	    30212	     	     2596
        0	     	        0	     	    62694	     	    32763	     	     2503
        0	     	        0	     	    63228	     	    32757	     	     2621
        0	     	        0	     	    63310	     	    32465	     	     2585
        0	     	        0	     	    63579	     	    32253	     	     2483
        0	     	        0	     	    62744	     	    32395	     	     2585
        0	     	        0	     	    62480	     	    32413	     	     2488
        0	     	        0	     	    62830	     	    31775	     	     2569
        0	     	        0	     	    62838	     	    31543	     	     2512
        0	     	        0	     	    63855	     	    32522	     	     2653
        0	     	        0	     	    62978	     	    32242	     	     2590
        0	     	        0	     	    63052	     	    32485	     	     2514
        0	     	        0	     	    64202	     	    31679	     	     2536
        0	     	        0	     	    63100	     	    33124	     	     2534
        0	     	        0	     	    62913	     	    32354	     	     2540
        0	     	        0	     	    63702	     	    32374	     	     2513
        0	     	        0	     	    62993	     	    30430	     	     2553
        0	     	        0	     	    63199	     	    32575	     	     2613
        0	     	        0	     	    62651	     	    30712	     	     2527
        0	     	        0	     	    63122	     	    31770	     	     2730
        0	     	        0	     	    63291	     	    32414	     	     2544
        0	     	        0	     	      103	     	    36051	     	     2564
        0	     	        0	     	    62672	     	    33716	     	     2598
        0	     	        0	     	    63962	     	    32810	     	     2626
        0	     	        0	     	    62983	     	    31938	     	     2613
        0	     	        0	     	    62653	     	    32922	     	     2460
        0	     	        0	     	    62622	     	    32757	     	     2579
        0	     	        0	     	    63095	     	    31885	     	     2493
        0	     	        0	     	    62769	     	    32221	     	     2573
        0	     	        0	     	    63214	     	    31771	     	     2584
        0	     	        0	     	    62819	     	    32186	     	     2539
        0	     	        0	     	    62903	     	    31731	     	     2517
        0	     	        0	     	    63229	     	    31823	     	     2588
        0	     	        0	     	    62977	     	    32213	     	     2565
        0	     	        0	     	    62528	     	    32874	     	     2588
        0	     	        0	     	    62646	     	    32650	     	     2616
        0	     	        0	     	    62974	     	    30845	     	     2712
        0	     	        0	     	    63240	     	    32232	     	     2515
