Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    44429	     	    10329	     	     3045
        0	     	        0	     	    44622	     	     9710	     	     2951
        0	     	        0	     	    47281	     	    14285	     	     3094
        0	     	        0	     	    44842	     	    10458	     	     3019
        0	     	        0	     	    46837	     	    15394	     	     3145
        0	     	        0	     	    44892	     	    11407	     	     3037
        0	     	        0	     	    45290	     	    11299	     	     2971
        0	     	        0	     	    45602	     	    10481	     	     3032
        0	     	        0	     	    47914	     	    16868	     	     3095
        0	     	        0	     	    45641	     	    12206	     	     2976
        0	     	        0	     	    44565	     	    12069	     	     3118
        0	     	        0	     	    45105	     	    11290	     	     2972
        0	     	        0	     	    44150	     	    11028	     	     3038
        0	     	        0	     	    45528	     	    11969	     	     2942
        0	     	        0	     	    44998	     	    11202	     	     2996
        0	     	        0	     	    45543	     	    12474	     	     3000
        0	     	        0	     	    45261	     	    13002	     	     3043
        0	     	        0	     	    45981	     	    13680	     	     3039
        0	     	        0	     	    46420	     	    12804	     	     3114
        0	     	        0	     	    45093	     	    13530	     	     3134
        0	     	        0	     	    48546	     	    17956	     	     3123
        0	     	        0	     	    45869	     	    14035	     	     3063
        0	     	        0	     	    48361	     	    18147	     	     2910
        0	     	        0	     	    46210	     	    14174	     	     3040
        0	     	        0	     	    45121	     	    12097	     	     3032
        0	     	        0	     	    46983	     	    17375	     	     3099
        0	     	        0	     	    46141	     	    15213	     	     3117
        0	     	        0	     	    47401	     	    15197	     	     3173
        0	     	        0	     	    46566	     	    14578	     	     3017
        0	     	        0	     	    46534	     	    14813	     	     3153
        0	     	        0	     	    46373	     	    16396	     	     3126
        0	     	        0	     	    46665	     	    16113	     	     3176
        0	     	        0	     	    46859	     	    16587	     	     3027
        0	     	        0	     	    47963	     	    16549	     	     3096
        0	     	        0	     	    46556	     	    16937	     	     3092
        0	     	        0	     	    46827	     	    17067	     	     3067
        0	     	        0	     	    47996	     	    17109	     	     3059
        0	     	        0	     	    47070	     	    16650	     	     3068
        0	     	        0	     	    45463	     	    14246	     	     3071
        0	     	        0	     	    46326	     	    16653	     	     3042
        0	     	        0	     	    47390	     	    17389	     	     3082
        0	     	        0	     	    47622	     	    18063	     	     3186
        0	     	        0	     	    47491	     	    17407	     	     3105
        0	     	        0	     	    47550	     	    16601	     	     3083
        0	     	        0	     	    47760	     	    16689	     	     3168
        0	     	        0	     	    46827	     	    17855	     	     3082
        0	     	        0	     	    48202	     	    18976	     	     3172
        0	     	        0	     	    48194	     	    19239	     	     3080
        0	     	        0	     	    47919	     	    17787	     	     3099
        0	     	        0	     	    47495	     	    18029	     	     3125
        0	     	        0	     	    47810	     	    17098	     	     3031
        0	     	        0	     	    47576	     	    18036	     	     3218
        0	     	        0	     	    47018	     	    19766	     	     3184
        0	     	        0	     	    47085	     	    18578	     	     3120
        0	     	        0	     	    48637	     	    17817	     	     3178
        0	     	        0	     	    49391	     	    19857	     	     3134
        0	     	        0	     	    49021	     	    18945	     	     3186
        0	     	        0	     	    48272	     	    19982	     	     3103
        0	     	        0	     	    48019	     	    18831	     	     3168
        0	     	        0	     	    48276	     	    19448	     	     3115
        0	     	        0	     	    50734	     	    24713	     	     3168
        0	     	        0	     	    48138	     	    19085	     	     3084
        0	     	        0	     	    47275	     	    20169	     	     3058
        0	     	        0	     	    49063	     	    21552	     	     3248
        0	     	        0	     	    48126	     	    20963	     	     3178
        0	     	        0	     	    48584	     	    20040	     	     3168
        0	     	        0	     	    49450	     	    21027	     	     3209
        0	     	        0	     	    48669	     	    20875	     	     3160
        0	     	        0	     	    49110	     	    21550	     	     3250
        0	     	        0	     	    50208	     	    24074	     	     3185
        0	     	        0	     	    48716	     	    21113	     	     3114
        0	     	        0	     	    48492	     	    20075	     	     3131
        0	     	        0	     	    49339	     	    22204	     	     3208
        0	     	        0	     	    49078	     	    22383	     	     3199
        0	     	        0	     	    47671	     	    22147	     	     3183
        0	     	        0	     	    49163	     	    22771	     	     3177
        0	     	        0	     	    49253	     	    22496	     	     3169
        0	     	        0	     	    50203	     	    23552	     	     3150
        0	     	        0	     	    48649	     	    24521	     	     3101
        0	     	        0	     	    49666	     	    23492	     	     3229
        0	     	        0	     	    49632	     	    22443	     	     3237
        0	     	        0	     	    49411	     	    22704	     	     3222
        0	     	        0	     	    49286	     	    22147	     	     3176
        0	     	        0	     	    48310	     	    23026	     	     3117
        0	     	        0	     	    49431	     	    22648	     	     3140
        0	     	        0	     	    49627	     	    23613	     	     3311
        0	     	        0	     	    50282	     	    23003	     	     3254
        0	     	        0	     	    49618	     	    23354	     	     3280
        0	     	        0	     	    49629	     	    23195	     	     3129
        0	     	        0	     	    49807	     	    23316	     	     3125
        0	     	        0	     	    49571	     	    23383	     	     3295
        0	     	        0	     	    50019	     	    23804	     	     3316
        0	     	        0	     	    49182	     	    23728	     	     3069
        0	     	        0	     	    49451	     	    23528	     	     3272
        0	     	        0	     	    49363	     	    23856	     	     3248
        0	     	        0	     	    49778	     	    23808	     	     3358
        0	     	        0	     	    49731	     	    23121	     	     3187
        0	     	        0	     	    50535	     	    24077	     	     3234
        0	     	        0	     	    51677	     	    28019	     	     3231
        0	     	        0	     	    50413	     	    25052	     	     3171
