Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    41252	     	    37744	     	     3152
        0	     	        0	     	    40700	     	    36562	     	     3217
        0	     	        0	     	    41288	     	    36681	     	     3106
        0	     	        0	     	    41400	     	    35996	     	     3237
        0	     	        0	     	    41335	     	    35931	     	     3201
        0	     	        0	     	    40937	     	    36096	     	     3115
        0	     	        0	     	    40701	     	    36008	     	     3068
        0	     	        0	     	    40898	     	    37035	     	     3112
        0	     	        0	     	    42081	     	    37510	     	     3255
        0	     	        0	     	    41447	     	    36356	     	     3298
        0	     	        0	     	    40689	     	    36410	     	     3214
        0	     	        0	     	    41042	     	    37397	     	     3174
        0	     	        0	     	    40635	     	    35828	     	     3128
        0	     	        0	     	    42567	     	    36680	     	     3259
        0	     	        0	     	    44137	     	    41874	     	     3256
        0	     	        0	     	    40259	     	    33571	     	     3151
        0	     	        0	     	    40762	     	    36562	     	     3205
        0	     	        0	     	    41728	     	    37076	     	     3085
        0	     	        0	     	    41073	     	    35563	     	     3113
        0	     	        0	     	    41002	     	    37613	     	     3230
        0	     	        0	     	    40833	     	    36205	     	     3152
        0	     	        0	     	    41152	     	    37341	     	     3199
        0	     	        0	     	    42016	     	    37184	     	     3230
        0	     	        0	     	    40737	     	    36392	     	     2981
        0	     	        0	     	    41122	     	    35376	     	     3238
        0	     	        0	     	    42103	     	    35873	     	     3196
        0	     	        0	     	    42209	     	    39875	     	     3257
        0	     	        0	     	    40767	     	    36917	     	     3176
        0	     	        0	     	    40522	     	    36475	     	     3225
        0	     	        0	     	    39878	     	    36429	     	     3169
        0	     	        0	     	    42777	     	    40994	     	     3263
        0	     	        0	     	    41976	     	    36727	     	     3252
        0	     	        0	     	    40797	     	    37009	     	     3194
        0	     	        0	     	    41162	     	    36357	     	     3201
        0	     	        0	     	    41893	     	    36907	     	     3269
        0	     	        0	     	    41862	     	    36575	     	     3164
        0	     	        0	     	    42596	     	    38519	     	     3025
        0	     	        0	     	    41296	     	    35758	     	     3177
        0	     	        0	     	    41500	     	    36197	     	     3184
        0	     	        0	     	    41493	     	    35685	     	     3190
        0	     	        0	     	    44448	     	    41045	     	     3274
        0	     	        0	     	    41132	     	    37717	     	     3165
        0	     	        0	     	    42937	     	    40347	     	     3259
        0	     	        0	     	    40671	     	    36553	     	     3134
        0	     	        0	     	    41794	     	    36552	     	     3169
        0	     	        0	     	    41294	     	    37451	     	     3113
        0	     	        0	     	    42988	     	    40517	     	     3204
        0	     	        0	     	    40449	     	    37502	     	     3125
        0	     	        0	     	    39894	     	    36883	     	     3128
        0	     	        0	     	    41466	     	    36515	     	     3167
        0	     	        0	     	    41738	     	    36389	     	     3229
        0	     	        0	     	    41237	     	    35463	     	     3157
        0	     	        0	     	    43590	     	    41647	     	     3234
        0	     	        0	     	    40898	     	    35346	     	     3131
        0	     	        0	     	    41297	     	    36272	     	     3097
        0	     	        0	     	    42820	     	    39271	     	     3152
        0	     	        0	     	    43949	     	    41788	     	     3275
        0	     	        0	     	    41074	     	    36605	     	     3207
        0	     	        0	     	    41125	     	    36442	     	     3198
        0	     	        0	     	    41573	     	    37041	     	     3209
        0	     	        0	     	    41235	     	    37036	     	     3176
        0	     	        0	     	    40770	     	    36738	     	     3114
        0	     	        0	     	    41320	     	    36231	     	     3308
        0	     	        0	     	    40888	     	    36559	     	     3118
        0	     	        0	     	    41782	     	    37084	     	     3162
        0	     	        0	     	    40772	     	    35888	     	     3234
        0	     	        0	     	    40442	     	    37122	     	     3196
        0	     	        0	     	    41276	     	    36215	     	     3200
        0	     	        0	     	    43237	     	    41178	     	     3119
        0	     	        0	     	    40970	     	    35720	     	     3119
        0	     	        0	     	    41120	     	    36578	     	     3178
        0	     	        0	     	    40857	     	    35586	     	     3186
        0	     	        0	     	    43132	     	    40583	     	     3235
        0	     	        0	     	    41143	     	    38173	     	     3129
        0	     	        0	     	    40837	     	    37367	     	     3064
        0	     	        0	     	    40833	     	    36464	     	     3190
        0	     	        0	     	    42044	     	    36220	     	     3183
        0	     	        0	     	    41178	     	    36738	     	     3229
        0	     	        0	     	    42697	     	    40121	     	     3134
        0	     	        0	     	    40230	     	    36897	     	     3191
        0	     	        0	     	    43983	     	    41373	     	     3230
        0	     	        0	     	    40742	     	    36800	     	     3163
        0	     	        0	     	    43791	     	    39417	     	     3176
        0	     	        0	     	    42047	     	    36788	     	     3152
        0	     	        0	     	    40531	     	    35748	     	     3274
        0	     	        0	     	    42957	     	    38928	     	     3192
        0	     	        0	     	    41814	     	    37256	     	     3099
        0	     	        0	     	    41061	     	    36786	     	     3212
        0	     	        0	     	    40276	     	    35895	     	     3213
        0	     	        0	     	    40329	     	    36216	     	     3196
        0	     	        0	     	    41364	     	    36542	     	     3118
        0	     	        0	     	    40878	     	    37493	     	     3144
        0	     	        0	     	    41276	     	    36844	     	     3104
        0	     	        0	     	    41633	     	    38479	     	     3226
        0	     	        0	     	    40860	     	    36873	     	     3171
        0	     	        0	     	    40477	     	    36483	     	     3274
        0	     	        0	     	    42288	     	    36786	     	     3313
        0	     	        0	     	    40615	     	    35567	     	     3172
        0	     	        0	     	    41126	     	    36591	     	     3136
        0	     	        0	     	    40593	     	    37153	     	     3125
