Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	      723	     	    37955	     	       12
        0	     	        0	     	    11462	     	    37465	     	     1040
        0	     	        0	     	     5901	     	    37088	     	     1852
        0	     	        0	     	     5985	     	    37563	     	     1803
        0	     	        0	     	     5298	     	    38611	     	     1817
        0	     	        0	     	     5519	     	    37289	     	     1872
        0	     	        0	     	     7151	     	    42529	     	     1880
        0	     	        0	     	     6084	     	    38026	     	     1812
        0	     	        0	     	     6064	     	    37945	     	     1782
        0	     	        0	     	     5610	     	    38175	     	     1836
        0	     	        0	     	     7227	     	    43329	     	     1827
        0	     	        0	     	     5970	     	    38284	     	     1764
        0	     	        0	     	     4717	     	    38435	     	     1861
        0	     	        0	     	     6408	     	    37752	     	     1745
        0	     	        0	     	     6041	     	    37837	     	     1885
        0	     	        0	     	     6103	     	    37695	     	     1707
        0	     	        0	     	     7430	     	    40802	     	     1895
        0	     	        0	     	     6095	     	    36798	     	     1866
        0	     	        0	     	     6922	     	    37076	     	     1889
        0	     	        0	     	     6892	     	    39868	     	     1782
        0	     	        0	     	     5634	     	    37907	     	     1763
        0	     	        0	     	     5727	     	    37648	     	     1871
        0	     	        0	     	     6277	     	    37282	     	     1875
        0	     	        0	     	     6001	     	    39166	     	     1771
        0	     	        0	     	     5829	     	    38023	     	     1914
        0	     	        0	     	     5740	     	    37789	     	     1894
        0	     	        0	     	     5802	     	    38885	     	     1892
        0	     	        0	     	     5888	     	    38210	     	     1852
        0	     	        0	     	     5497	     	    38560	     	     1759
        0	     	        0	     	     5410	     	    39003	     	     1877
        0	     	        0	     	     5690	     	    37407	     	     1720
        0	     	        0	     	     6233	     	    37910	     	     1846
        0	     	        0	     	     5686	     	    38010	     	     1816
        0	     	        0	     	     5951	     	    38147	     	     1831
        0	     	        0	     	     6623	     	    36791	     	     1804
        0	     	        0	     	     5252	     	    37659	     	     1830
        0	     	        0	     	     6392	     	    37766	     	     1823
        0	     	        0	     	     5740	     	    37719	     	     1902
        0	     	        0	     	     6014	     	    38570	     	     1843
        0	     	        0	     	     5907	     	    36853	     	     1883
        0	     	        0	     	     5851	     	    36449	     	     1862
        0	     	        0	     	     6010	     	    38320	     	     1797
        0	     	        0	     	     5924	     	    38480	     	     1922
        0	     	        0	     	     5783	     	    38711	     	     1892
        0	     	        0	     	     6086	     	    37952	     	     1872
        0	     	        0	     	     5762	     	    37055	     	     1825
        0	     	        0	     	     6552	     	    38809	     	     1868
        0	     	        0	     	     5446	     	    37898	     	     1850
        0	     	        0	     	     6444	     	    39809	     	     1834
        0	     	        0	     	     6000	     	    38098	     	     1898
        0	     	        0	     	     6018	     	    38374	     	     1821
        0	     	        0	     	     5984	     	    37495	     	     1878
        0	     	        0	     	     6424	     	    37084	     	     1870
        0	     	        0	     	     6446	     	    38479	     	     1849
        0	     	        0	     	     5976	     	    37671	     	     1863
        0	     	        0	     	     6333	     	    38289	     	     1841
        0	     	        0	     	     6203	     	    37172	     	     1827
        0	     	        0	     	     5941	     	    38422	     	     1853
        0	     	        0	     	     6169	     	    38784	     	     1859
        0	     	        0	     	     5736	     	    38620	     	     1938
        0	     	        0	     	     5667	     	    37719	     	     1812
        0	     	        0	     	     4847	     	    35105	     	     1751
        0	     	        0	     	     7142	     	    43344	     	     1808
        0	     	        0	     	     6462	     	    37192	     	     1874
        0	     	        0	     	     6568	     	    37459	     	     1824
        0	     	        0	     	     5697	     	    38015	     	     1850
        0	     	        0	     	     6696	     	    37990	     	     1816
        0	     	        0	     	     5747	     	    38238	     	     1819
        0	     	        0	     	     6251	     	    37512	     	     1784
        0	     	        0	     	     5988	     	    37602	     	     1809
        0	     	        0	     	     5441	     	    37277	     	     1836
        0	     	        0	     	     6009	     	    37702	     	     1844
        0	     	        0	     	     7993	     	    42326	     	     1889
        0	     	        0	     	     5967	     	    38086	     	     1846
        0	     	        0	     	     7353	     	    43125	     	     1804
        0	     	        0	     	     5977	     	    37728	     	     1774
        0	     	        0	     	     6029	     	    36771	     	     1868
        0	     	        0	     	     6198	     	    38674	     	     1896
        0	     	        0	     	     5659	     	    37723	     	     1770
        0	     	        0	     	     6464	     	    37370	     	     1895
        0	     	        0	     	     7315	     	    42614	     	     1854
        0	     	        0	     	     5857	     	    37156	     	     1795
        0	     	        0	     	     6731	     	    38585	     	     1815
        0	     	        0	     	     5983	     	    38231	     	     1880
        0	     	        0	     	     5785	     	    38269	     	     1806
        0	     	        0	     	     5899	     	    37506	     	     1912
        0	     	        0	     	     6655	     	    37440	     	     1899
        0	     	        0	     	     6273	     	    37580	     	     1895
        0	     	        0	     	     6411	     	    37102	     	     1868
        0	     	        0	     	     6375	     	    38396	     	     1817
        0	     	        0	     	     5874	     	    37175	     	     1848
        0	     	        0	     	     6054	     	    37341	     	     1803
        0	     	        0	     	     5403	     	    37717	     	     1839
        0	     	        0	     	     5702	     	    37725	     	     1806
        0	     	        0	     	     5778	     	    37982	     	     1889
        0	     	        0	     	     5623	     	    38164	     	     1836
        0	     	        0	     	     5753	     	    37555	     	     1789
        0	     	        0	     	     5589	     	    37524	     	     1815
        0	     	        0	     	     5866	     	    39627	     	     1803
        0	     	        0	     	     5559	     	    36321	     	     1790
        0	     	        0	     	     5975	     	    38069	     	     1786
        0	     	        0	     	     5582	     	    37293	     	     1868
        0	     	        0	     	     5911	     	    37132	     	     1865
        0	     	        0	     	     5545	     	    38477	     	     1900
        0	     	        0	     	     5746	     	    37332	     	     1917
        0	     	        0	     	     6392	     	    37129	     	     1843
        0	     	        0	     	     6071	     	    37578	     	     1767
        0	     	        0	     	     6393	     	    37093	     	     1880
        0	     	        0	     	     6116	     	    38400	     	     1784
        0	     	        0	     	     5916	     	    39068	     	     1825
        0	     	        0	     	     5598	     	    38039	     	     1831
        0	     	        0	     	     5468	     	    37733	     	     1884
        0	     	        0	     	     7413	     	    42758	     	     1826
        0	     	        0	     	     5783	     	    37278	     	     1825
        0	     	        0	     	     6256	     	    36751	     	     1814
        0	     	        0	     	     6296	     	    38578	     	     1809
        0	     	        0	     	     7309	     	    41710	     	     1876
        0	     	        0	     	     6080	     	    37914	     	     1875
        0	     	        0	     	     6408	     	    38537	     	     1880
        0	     	        0	     	     6298	     	    37622	     	     1747
        0	     	        0	     	     6751	     	    40063	     	     1853
        0	     	        0	     	     5742	     	    38767	     	     1854
        0	     	        0	     	     6836	     	    42416	     	     1889
        0	     	        0	     	     6123	     	    37074	     	     1886
        0	     	        0	     	     6299	     	    38936	     	     1821
        0	     	        0	     	     6139	     	    37898	     	     1829
        0	     	        0	     	     5957	     	    37954	     	     1815
        0	     	        0	     	     6050	     	    37317	     	     1847
        0	     	        0	     	     5198	     	    37093	     	     1879
        0	     	        0	     	     6523	     	    37932	     	     1874
        0	     	        0	     	     5863	     	    38644	     	     1874
        0	     	        0	     	     5890	     	    37311	     	     1797
        0	     	        0	     	     5789	     	    37406	     	     1824
        0	     	        0	     	     5352	     	    37529	     	     1907
        0	     	        0	     	     5613	     	    38284	     	     1821
        0	     	        0	     	     6012	     	    38169	     	     1806
        0	     	        0	     	     6185	     	    37313	     	     1772
        0	     	        0	     	     5428	     	    38236	     	     1832
        0	     	        0	     	     5712	     	    37509	     	     1830
        0	     	        0	     	     6179	     	    37712	     	     1816
        0	     	        0	     	     6860	     	    42716	     	     1898
        0	     	        0	     	     5281	     	    38899	     	     1844
        0	     	        0	     	     5971	     	    38706	     	     1812
        0	     	        0	     	     5163	     	    35494	     	     1835
        0	     	        0	     	     6875	     	    41903	     	     1882
        0	     	        0	     	     6229	     	    37280	     	     1876
        0	     	        0	     	     5935	     	    38325	     	     1844
        0	     	        0	     	     6331	     	    37980	     	     1781
        0	     	        0	     	     6368	     	    37525	     	     1874
        0	     	        0	     	     5734	     	    38049	     	     1809
        0	     	        0	     	     5971	     	    37876	     	     1814
        0	     	        0	     	     5908	     	    37163	     	     1831
        0	     	        0	     	     4930	     	    38775	     	     1788
        0	     	        0	     	     6525	     	    37338	     	     1849
        0	     	        0	     	     7319	     	    42615	     	     1778
        0	     	        0	     	     5583	     	    37760	     	     1884
        0	     	        0	     	     5738	     	    37599	     	     1831
        0	     	        0	     	     6274	     	    37778	     	     1853
        0	     	        0	     	     6253	     	    36886	     	     1845
        0	     	        0	     	     6177	     	    37785	     	     1793
        0	     	        0	     	     6128	     	    36840	     	     1806
        0	     	        0	     	     6605	     	    38612	     	     1804
        0	     	        0	     	     5761	     	    38761	     	     1890
        0	     	        0	     	     4627	     	    33953	     	     1793
        0	     	        0	     	     7280	     	    42371	     	     1864
        0	     	        0	     	     5666	     	    37071	     	     1914
        0	     	        0	     	     6181	     	    38420	     	     1873
        0	     	        0	     	     6143	     	    37576	     	     1782
        0	     	        0	     	     6041	     	    38721	     	     1891
        0	     	        0	     	     6116	     	    39574	     	     1869
        0	     	        0	     	     6320	     	    37682	     	     1863
        0	     	        0	     	     6099	     	    37452	     	     1804
