Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    42839	     	    16311	     	     2162
        0	     	        0	     	    42272	     	    17631	     	     2127
        0	     	        0	     	    42741	     	    18658	     	     2226
        0	     	        0	     	    42823	     	    17101	     	     2308
        0	     	        0	     	    42883	     	    18116	     	     2222
        0	     	        0	     	    42860	     	    17234	     	     2226
        0	     	        0	     	    43116	     	    17525	     	     2198
        0	     	        0	     	    43029	     	    17787	     	     2252
        0	     	        0	     	    43386	     	    17840	     	     2252
        0	     	        0	     	    43225	     	    18396	     	     2233
        0	     	        0	     	    44642	     	    20813	     	     2278
        0	     	        0	     	    43188	     	    18399	     	     2231
        0	     	        0	     	    44747	     	    23089	     	     2261
        0	     	        0	     	    42094	     	    16794	     	     2266
        0	     	        0	     	    44744	     	    22666	     	     2267
        0	     	        0	     	    44033	     	    19695	     	     2251
        0	     	        0	     	    43431	     	    20218	     	     2232
        0	     	        0	     	    43053	     	    18761	     	     2203
        0	     	        0	     	    43421	     	    19046	     	     2245
        0	     	        0	     	    44373	     	    20417	     	     2202
        0	     	        0	     	    43423	     	    19999	     	     2235
        0	     	        0	     	    43921	     	    20425	     	     2230
        0	     	        0	     	    44352	     	    19250	     	     2234
        0	     	        0	     	    43561	     	    19286	     	     2311
        0	     	        0	     	    45112	     	    24811	     	     2340
        0	     	        0	     	    43968	     	    21071	     	     2183
        0	     	        0	     	    43992	     	    21007	     	     2279
        0	     	        0	     	    44003	     	    20967	     	     2344
        0	     	        0	     	    44112	     	    20918	     	     2299
        0	     	        0	     	    44827	     	    21934	     	     2206
        0	     	        0	     	    43667	     	    21491	     	     2242
        0	     	        0	     	    44016	     	    21045	     	     2262
        0	     	        0	     	    46136	     	    26433	     	     2357
        0	     	        0	     	    44358	     	    21371	     	     2280
        0	     	        0	     	    46460	     	    26030	     	     2356
        0	     	        0	     	    44717	     	    22079	     	     2331
        0	     	        0	     	    44335	     	    23171	     	     2285
        0	     	        0	     	    44225	     	    22854	     	     2287
        0	     	        0	     	    44513	     	    21625	     	     2269
        0	     	        0	     	    44254	     	    22231	     	     2278
        0	     	        0	     	    44711	     	    22455	     	     2387
        0	     	        0	     	    44398	     	    23702	     	     2282
        0	     	        0	     	    46839	     	    26933	     	     2309
        0	     	        0	     	    44827	     	    22181	     	     2269
