Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    53325	     	    31477	     	     2351
        0	     	        0	     	    53466	     	    32830	     	     2427
        0	     	        0	     	    52812	     	    31912	     	     2449
        0	     	        0	     	    53651	     	    32038	     	     2481
        0	     	        0	     	    52909	     	    32128	     	     2423
        0	     	        0	     	    54477	     	    35008	     	     2583
        0	     	        0	     	    52748	     	    32252	     	     2499
        0	     	        0	     	    53465	     	    31788	     	     2442
        0	     	        0	     	    53637	     	    31626	     	     2467
        0	     	        0	     	    53528	     	    32319	     	     2415
        0	     	        0	     	    53205	     	    31272	     	     2430
        0	     	        0	     	    52679	     	    31101	     	     2423
        0	     	        0	     	    53200	     	    33256	     	     2490
        0	     	        0	     	    53466	     	    32844	     	     2425
        0	     	        0	     	    53230	     	    30492	     	     2416
        0	     	        0	     	    53705	     	    31697	     	     2521
        0	     	        0	     	    53969	     	    30959	     	     2417
        0	     	        0	     	    53859	     	    32544	     	     2552
        0	     	        0	     	    54203	     	    31603	     	     2476
        0	     	        0	     	    53330	     	    31005	     	     2470
