Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	      345	     	    32822	     	        1
        0	     	        0	     	      383	     	    33092	     	        3
        0	     	        0	     	      403	     	    32749	     	        3
        0	     	        0	     	      364	     	    33147	     	        1
        0	     	        0	     	      369	     	    32970	     	        3
        0	     	        0	     	      372	     	    35253	     	        8
        0	     	        0	     	      335	     	    37339	     	        9
        0	     	        0	     	      394	     	    32544	     	       10
        0	     	        0	     	      360	     	    32393	     	        4
        0	     	        0	     	      372	     	    32754	     	        8
        0	     	        0	     	      344	     	    33043	     	        3
        0	     	        0	     	      343	     	    32042	     	        3
        0	     	        0	     	      375	     	    32927	     	        4
        0	     	        0	     	      333	     	    32120	     	        7
        0	     	        0	     	      373	     	    33018	     	        5
        0	     	        0	     	      378	     	    32679	     	        8
        0	     	        0	     	      356	     	    32074	     	        8
        0	     	        0	     	      422	     	    33920	     	        7
        0	     	        0	     	      409	     	    33160	     	       10
        0	     	        0	     	      375	     	    33524	     	        3
        0	     	        0	     	      359	     	    33448	     	        4
        0	     	        0	     	      361	     	    32520	     	        3
        0	     	        0	     	      362	     	    37444	     	        5
        0	     	        0	     	      313	     	    32991	     	        2
        0	     	        0	     	      372	     	    35760	     	        5
        0	     	        0	     	      370	     	    33645	     	        8
        0	     	        0	     	      331	     	    33054	     	        5
        0	     	        0	     	      377	     	    32146	     	        9
        0	     	        0	     	      355	     	    33414	     	        8
        0	     	        0	     	      331	     	    33156	     	        2
        0	     	        0	     	      347	     	    33937	     	        6
        0	     	        0	     	      374	     	    33624	     	        5
        0	     	        0	     	      379	     	    37436	     	        3
        0	     	        0	     	      426	     	    34206	     	        5
        0	     	        0	     	      344	     	    37308	     	        7
        0	     	        0	     	      379	     	    33056	     	        5
        0	     	        0	     	      368	     	    32479	     	        3
        0	     	        0	     	      331	     	    32796	     	        0
        0	     	        0	     	      362	     	    33224	     	        6
        0	     	        0	     	      353	     	    33223	     	        2
        0	     	        0	     	      399	     	    33180	     	        6
        0	     	        0	     	      397	     	    32736	     	        2
        0	     	        0	     	      373	     	    33316	     	        7
        0	     	        0	     	      362	     	    30712	     	        5
        0	     	        0	     	      365	     	    32718	     	        4
        0	     	        0	     	      385	     	    33930	     	        6
        0	     	        0	     	      387	     	    35699	     	        3
        0	     	        0	     	      352	     	    33412	     	        3
        0	     	        0	     	      355	     	    33707	     	        3
        0	     	        0	     	      357	     	    32456	     	        1
        0	     	        0	     	      365	     	    32780	     	        9
        0	     	        0	     	      347	     	    32958	     	        7
        0	     	        0	     	      328	     	    33420	     	        2
        0	     	        0	     	      453	     	    32491	     	        3
        0	     	        0	     	      351	     	    33575	     	        4
        0	     	        0	     	      402	     	    31426	     	        4
        0	     	        0	     	      381	     	    36015	     	        5
        0	     	        0	     	      380	     	    32894	     	        5
        0	     	        0	     	      372	     	    33343	     	        5
        0	     	        0	     	      417	     	    32552	     	        6
        0	     	        0	     	      361	     	    33344	     	        4
        0	     	        0	     	      348	     	    33759	     	        5
        0	     	        0	     	      344	     	    32399	     	        6
        0	     	        0	     	      347	     	    32946	     	        2
        0	     	        0	     	      380	     	    32137	     	        5
        0	     	        0	     	      403	     	    33734	     	        6
        0	     	        0	     	      361	     	    33401	     	        8
        0	     	        0	     	      373	     	    33064	     	        6
        0	     	        0	     	      377	     	    33349	     	        6
        0	     	        0	     	      379	     	    32779	     	        3
        0	     	        0	     	      367	     	    34129	     	        8
        0	     	        0	     	      369	     	    33118	     	        3
        0	     	        0	     	      335	     	    33263	     	        5
        0	     	        0	     	      374	     	    33936	     	        5
        0	     	        0	     	      339	     	    34133	     	        8
        0	     	        0	     	      385	     	    34199	     	        6
        0	     	        0	     	      359	     	    32330	     	        4
        0	     	        0	     	      357	     	    32202	     	        4
        0	     	        0	     	      356	     	    33027	     	        2
        0	     	        0	     	      357	     	    34305	     	        5
        0	     	        0	     	      362	     	    36403	     	        3
        0	     	        0	     	      373	     	    33654	     	        2
        0	     	        0	     	      336	     	    33439	     	        4
        0	     	        0	     	      380	     	    32644	     	        4
        0	     	        0	     	      376	     	    33275	     	        5
        0	     	        0	     	      376	     	    33339	     	        7
        0	     	        0	     	      355	     	    34313	     	        4
        0	     	        0	     	      380	     	    33494	     	        4
        0	     	        0	     	      367	     	    36276	     	        4
        0	     	        0	     	      329	     	    34686	     	        7
        0	     	        0	     	      377	     	    32741	     	        6
        0	     	        0	     	      341	     	    32655	     	        6
        0	     	        0	     	      368	     	    33210	     	        9
        0	     	        0	     	      346	     	    32176	     	        9
        0	     	        0	     	      340	     	    32885	     	        4
        0	     	        0	     	      322	     	    33965	     	        4
        0	     	        0	     	      402	     	    33143	     	        3
        0	     	        0	     	      372	     	    32627	     	        9
        0	     	        0	     	      354	     	    32601	     	        1
        0	     	        0	     	      362	     	    33320	     	        4
