Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	      355	     	      942	     	        0
        0	     	        0	     	      312	     	      927	     	        0
        0	     	        0	     	      301	     	      939	     	        0
        0	     	        0	     	      351	     	      928	     	        0
        0	     	        0	     	      353	     	      876	     	        0
        0	     	        0	     	      342	     	      890	     	        0
        0	     	        0	     	      328	     	      834	     	        0
        0	     	        0	     	      314	     	      833	     	        0
        0	     	        0	     	      299	     	      835	     	        0
        0	     	        0	     	      312	     	      853	     	        0
        0	     	        0	     	      289	     	      863	     	        0
        0	     	        0	     	      328	     	      885	     	        0
        0	     	        0	     	      340	     	      861	     	        0
        0	     	        0	     	      308	     	      890	     	        0
        0	     	        0	     	      338	     	      896	     	        0
        0	     	        0	     	      346	     	      875	     	        0
        0	     	        0	     	      326	     	      833	     	        0
        0	     	        0	     	      320	     	      836	     	        0
        0	     	        0	     	      334	     	      900	     	        0
        0	     	        0	     	      316	     	      837	     	        0
        0	     	        0	     	      339	     	      838	     	        0
        0	     	        0	     	      321	     	      809	     	        0
        0	     	        0	     	      317	     	      776	     	        0
        0	     	        0	     	      332	     	      797	     	        0
        0	     	        0	     	      334	     	      859	     	        0
        0	     	        0	     	      353	     	      858	     	        0
        0	     	        0	     	      331	     	      819	     	        0
        0	     	        0	     	      344	     	      927	     	        0
        0	     	        0	     	      336	     	      929	     	        0
        0	     	        0	     	      371	     	      922	     	        0
        0	     	        0	     	      345	     	      919	     	        0
        0	     	        0	     	      314	     	      880	     	        0
        0	     	        0	     	      330	     	      863	     	        0
        0	     	        0	     	      336	     	      922	     	        0
        0	     	        0	     	      336	     	      858	     	        0
        0	     	        0	     	      324	     	      902	     	        0
        0	     	        0	     	      371	     	      870	     	        0
        0	     	        0	     	      328	     	      880	     	        0
        0	     	        0	     	      322	     	      906	     	        0
        0	     	        0	     	      347	     	      899	     	        0
        0	     	        0	     	      336	     	      908	     	        0
        0	     	        0	     	      352	     	      930	     	        0
        0	     	        0	     	      353	     	      899	     	        0
        0	     	        0	     	      331	     	      936	     	        0
        0	     	        0	     	      328	     	      926	     	        0
        0	     	        0	     	      353	     	      887	     	        0
        0	     	        0	     	      340	     	      916	     	        0
        0	     	        0	     	      323	     	      895	     	        0
        0	     	        0	     	      336	     	      918	     	        0
        0	     	        0	     	      379	     	      876	     	        0
        0	     	        0	     	      349	     	      883	     	        0
        0	     	        0	     	      353	     	      864	     	        0
        0	     	        0	     	      360	     	      908	     	        0
        0	     	        0	     	      359	     	      888	     	        0
        0	     	        0	     	      344	     	      946	     	        0
        0	     	        0	     	      356	     	      929	     	        0
        0	     	        0	     	      309	     	      931	     	        0
        0	     	        0	     	      358	     	      910	     	        0
        0	     	        0	     	      338	     	      954	     	        0
        0	     	        0	     	      335	     	      892	     	        0
        0	     	        0	     	      346	     	      918	     	        0
        0	     	        0	     	      314	     	      933	     	        0
        0	     	        0	     	      342	     	      854	     	        0
        0	     	        0	     	      366	     	      857	     	        0
        0	     	        0	     	      335	     	      865	     	        0
        0	     	        0	     	      374	     	      870	     	        0
        0	     	        0	     	      339	     	      866	     	        0
        0	     	        0	     	      363	     	      901	     	        0
        0	     	        0	     	      342	     	      926	     	        0
        0	     	        0	     	      336	     	      872	     	        0
        0	     	        0	     	      358	     	      875	     	        0
        0	     	        0	     	      360	     	      883	     	        0
        0	     	        0	     	      376	     	      831	     	        0
        0	     	        0	     	      369	     	      905	     	        0
        0	     	        0	     	      361	     	      899	     	        0
        0	     	        0	     	      318	     	      872	     	        0
        0	     	        0	     	      368	     	      931	     	        0
        0	     	        0	     	      379	     	      875	     	        0
        0	     	        0	     	      343	     	      849	     	        0
        0	     	        0	     	      338	     	      896	     	        0
        0	     	        0	     	      325	     	      925	     	        0
        0	     	        0	     	      286	     	      922	     	        0
        0	     	        0	     	      357	     	      992	     	        0
        0	     	        0	     	      382	     	      908	     	        0
        0	     	        0	     	      337	     	      925	     	        0
        0	     	        0	     	      330	     	      889	     	        0
        0	     	        0	     	      329	     	      920	     	        0
        0	     	        0	     	      348	     	      845	     	        0
        0	     	        0	     	      347	     	      886	     	        0
        0	     	        0	     	      371	     	      937	     	        0
        0	     	        0	     	      346	     	      856	     	        0
        0	     	        0	     	      341	     	      876	     	        0
        0	     	        0	     	      362	     	      906	     	        0
        0	     	        0	     	      356	     	      920	     	        0
        0	     	        0	     	      355	     	      878	     	        0
        0	     	        0	     	      368	     	      841	     	        0
        0	     	        0	     	      343	     	      855	     	        0
        0	     	        0	     	      338	     	      855	     	        0
        0	     	        0	     	      350	     	      886	     	        0
        0	     	        0	     	      335	     	      864	     	        0
