Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	       79	     	      732	     	        0
        0	     	        0	     	      430	     	     1606	     	        0
        0	     	        0	     	      431	     	     1358	     	        0
        0	     	        0	     	      451	     	     1332	     	        0
        0	     	        0	     	      436	     	     1167	     	        0
        0	     	        0	     	      460	     	     1123	     	        0
        0	     	        0	     	      424	     	     1095	     	        0
        0	     	        0	     	      480	     	     1123	     	        0
        0	     	        0	     	      440	     	     1133	     	        0
        0	     	        0	     	      446	     	     1154	     	        0
        0	     	        0	     	      492	     	     1153	     	        0
        0	     	        0	     	      426	     	     1217	     	        0
        0	     	        0	     	      470	     	     1171	     	        0
        0	     	        0	     	      476	     	     1109	     	        0
        0	     	        0	     	      441	     	     1140	     	        0
        0	     	        0	     	      427	     	     1178	     	        0
        0	     	        0	     	      451	     	     1125	     	        0
        0	     	        0	     	      428	     	     1088	     	        0
        0	     	        0	     	      480	     	     1120	     	        0
        0	     	        0	     	      444	     	     1128	     	        0
        0	     	        0	     	      423	     	     1167	     	        0
        0	     	        0	     	      451	     	     1114	     	        0
        0	     	        0	     	      453	     	     1102	     	        0
        0	     	        0	     	      449	     	     1096	     	        0
        0	     	        0	     	      438	     	     1123	     	        0
        0	     	        0	     	      447	     	     1102	     	        0
        0	     	        0	     	      459	     	     1189	     	        0
        0	     	        0	     	      447	     	     1193	     	        0
        0	     	        0	     	      423	     	     1194	     	        0
        0	     	        0	     	      471	     	     1113	     	        0
        0	     	        0	     	      437	     	     1183	     	        0
        0	     	        0	     	      479	     	     1148	     	        0
        0	     	        0	     	      471	     	     1109	     	        0
        0	     	        0	     	      455	     	     1099	     	        0
        0	     	        0	     	      468	     	     1131	     	        0
        0	     	        0	     	      477	     	     1061	     	        0
        0	     	        0	     	      385	     	     1143	     	        0
        0	     	        0	     	      439	     	     1122	     	        0
        0	     	        0	     	      458	     	     1109	     	        0
        0	     	        0	     	      433	     	     1141	     	        0
        0	     	        0	     	      434	     	     1176	     	        0
        0	     	        0	     	      442	     	     1184	     	        0
        0	     	        0	     	      413	     	     1097	     	        0
        0	     	        0	     	      428	     	     1073	     	        0
        0	     	        0	     	      411	     	     1137	     	        0
        0	     	        0	     	      446	     	     1100	     	        0
        0	     	        0	     	      412	     	     1168	     	        0
        0	     	        0	     	      473	     	     1110	     	        0
        0	     	        0	     	      454	     	     1141	     	        0
        0	     	        0	     	      425	     	     1181	     	        0
        0	     	        0	     	      426	     	     1090	     	        0
        0	     	        0	     	      453	     	     1099	     	        0
        0	     	        0	     	      447	     	     1058	     	        0
        0	     	        0	     	      423	     	     1128	     	        0
        0	     	        0	     	      409	     	     1154	     	        0
        0	     	        0	     	      425	     	     1105	     	        0
        0	     	        0	     	      444	     	     1079	     	        0
        0	     	        0	     	      419	     	     1010	     	        0
        0	     	        0	     	      396	     	     1103	     	        0
        0	     	        0	     	      456	     	     1096	     	        0
        0	     	        0	     	      436	     	     1071	     	        0
        0	     	        0	     	      439	     	      985	     	        0
        0	     	        0	     	      419	     	     1140	     	        0
        0	     	        0	     	      420	     	     1068	     	        0
        0	     	        0	     	      454	     	     1123	     	        0
        0	     	        0	     	      439	     	     1099	     	        0
        0	     	        0	     	      423	     	     1084	     	        0
        0	     	        0	     	      430	     	     1124	     	        0
        0	     	        0	     	      440	     	     1125	     	        0
        0	     	        0	     	      440	     	     1080	     	        0
        0	     	        0	     	      420	     	     1058	     	        0
        0	     	        0	     	      414	     	     1114	     	        0
        0	     	        0	     	      435	     	     1037	     	        0
        0	     	        0	     	      391	     	     1058	     	        0
        0	     	        0	     	      450	     	     1034	     	        0
        0	     	        0	     	      440	     	     1073	     	        0
        0	     	        0	     	      417	     	     1054	     	        0
        0	     	        0	     	      443	     	     1100	     	        0
        0	     	        0	     	      417	     	     1048	     	        0
        0	     	        0	     	      425	     	     1066	     	        0
        0	     	        0	     	      425	     	     1094	     	        0
        0	     	        0	     	      439	     	     1115	     	        0
        0	     	        0	     	      396	     	     1044	     	        0
        0	     	        0	     	      459	     	     1074	     	        0
        0	     	        0	     	      417	     	     1158	     	        0
        0	     	        0	     	      441	     	     1049	     	        0
        0	     	        0	     	      410	     	     1081	     	        1
        0	     	        0	     	      408	     	     1014	     	        0
        0	     	        0	     	      440	     	     1068	     	        0
        0	     	        0	     	      418	     	     1105	     	        0
        0	     	        0	     	      453	     	     1082	     	        0
        0	     	        0	     	      477	     	     1039	     	        0
        0	     	        0	     	      373	     	     1101	     	        0
        0	     	        0	     	      405	     	     1083	     	        0
        0	     	        0	     	      424	     	     1095	     	        0
        0	     	        0	     	      419	     	     1023	     	        0
        0	     	        0	     	      450	     	     1080	     	        0
        0	     	        0	     	      439	     	     1051	     	        0
        0	     	        0	     	      421	     	     1065	     	        0
        0	     	        0	     	      413	     	     1012	     	        0
        0	     	        0	     	      450	     	     1095	     	        0
        0	     	        0	     	      423	     	     1072	     	        0
        0	     	        0	     	      423	     	     1025	     	        0
        0	     	        0	     	      445	     	     1165	     	        0
        0	     	        0	     	      422	     	     1057	     	        0
        0	     	        0	     	      422	     	     1107	     	        0
        0	     	        0	     	      438	     	     1083	     	        0
        0	     	        0	     	      442	     	     1020	     	        0
        0	     	        0	     	      414	     	     1038	     	        0
        0	     	        0	     	      381	     	     1073	     	        0
        0	     	        0	     	      424	     	     1174	     	        0
        0	     	        0	     	      401	     	     1080	     	        0
        0	     	        0	     	      415	     	     1050	     	        0
        0	     	        0	     	      418	     	     1200	     	        0
        0	     	        0	     	      392	     	     1188	     	        0
        0	     	        0	     	      383	     	     1086	     	        0
        0	     	        0	     	      422	     	     1029	     	        0
        0	     	        0	     	      424	     	     1107	     	        0
        0	     	        0	     	      423	     	     1092	     	        0
        0	     	        0	     	      406	     	     1085	     	        0
        0	     	        0	     	      400	     	     1076	     	        0
        0	     	        0	     	      388	     	     1141	     	        0
        0	     	        0	     	      416	     	     1106	     	        1
        0	     	        0	     	      454	     	     1107	     	        0
        0	     	        0	     	      454	     	     1083	     	        0
        0	     	        0	     	      473	     	     1089	     	        0
        0	     	        0	     	      403	     	     1065	     	        0
        0	     	        0	     	      419	     	     1081	     	        0
        0	     	        0	     	      419	     	     1048	     	        0
        0	     	        0	     	      403	     	     1082	     	        0
        0	     	        0	     	      404	     	     1033	     	        0
        0	     	        0	     	      417	     	     1049	     	        0
        0	     	        0	     	      400	     	     1001	     	        0
        0	     	        0	     	      398	     	     1010	     	        0
        0	     	        0	     	      432	     	      974	     	        0
        0	     	        0	     	      446	     	     1052	     	        0
        0	     	        0	     	      433	     	     1096	     	        0
        0	     	        0	     	      404	     	     1083	     	        0
        0	     	        0	     	      461	     	     1034	     	        0
        0	     	        0	     	      406	     	     1045	     	        0
        0	     	        0	     	      425	     	     1042	     	        0
        0	     	        0	     	      377	     	     1022	     	        0
        0	     	        0	     	      399	     	     1003	     	        0
        0	     	        0	     	      439	     	      975	     	        0
        0	     	        0	     	      401	     	      971	     	        0
        0	     	        0	     	      413	     	      992	     	        0
        0	     	        0	     	      410	     	     1017	     	        0
        0	     	        0	     	      404	     	      972	     	        0
        0	     	        0	     	      397	     	     1038	     	        0
        0	     	        0	     	      442	     	     1040	     	        0
        0	     	        0	     	      400	     	     1017	     	        0
        0	     	        0	     	      452	     	     1053	     	        0
        0	     	        0	     	      403	     	     1027	     	        0
        0	     	        0	     	      471	     	     1025	     	        0
        0	     	        0	     	      427	     	     1111	     	        0
        0	     	        0	     	      441	     	     1033	     	        0
        0	     	        0	     	      395	     	     1114	     	        0
        0	     	        0	     	      397	     	     1044	     	        0
        0	     	        0	     	      422	     	     1080	     	        0
        0	     	        0	     	      444	     	     1082	     	        0
        0	     	        0	     	      402	     	      996	     	        0
        0	     	        0	     	      418	     	     1016	     	        0
        0	     	        0	     	      413	     	     1007	     	        0
        0	     	        0	     	      403	     	     1066	     	        0
        0	     	        0	     	      407	     	     1144	     	        0
        0	     	        0	     	      445	     	     1069	     	        0
        0	     	        0	     	      420	     	     1060	     	        0
        0	     	        0	     	      445	     	     1080	     	        0
        0	     	        0	     	      449	     	     1021	     	        0
        0	     	        0	     	      427	     	     1125	     	        0
        0	     	        0	     	      400	     	     1006	     	        0
        0	     	        0	     	      388	     	     1046	     	        0
        0	     	        0	     	      442	     	     1084	     	        0
        0	     	        0	     	      370	     	     1024	     	        0
        0	     	        0	     	      407	     	     1049	     	        0
        0	     	        0	     	      463	     	     1059	     	        0
        0	     	        0	     	      412	     	     1041	     	        0
        0	     	        0	     	      441	     	     1121	     	        0
        0	     	        0	     	      471	     	     1008	     	        0
        0	     	        0	     	      398	     	      989	     	        0
        0	     	        0	     	      413	     	     1151	     	        0
        0	     	        0	     	      413	     	     1108	     	        0
        0	     	        0	     	      388	     	     1002	     	        0
        0	     	        0	     	      431	     	     1106	     	        0
        0	     	        0	     	      386	     	     1013	     	        0
        0	     	        0	     	      420	     	      974	     	        0
        0	     	        0	     	      428	     	     1037	     	        0
        0	     	        0	     	      444	     	     1029	     	        0
        0	     	        0	     	      450	     	     1139	     	        0
        0	     	        0	     	      379	     	     1090	     	        0
        0	     	        0	     	      406	     	     1108	     	        0
        0	     	        0	     	      433	     	     1130	     	        0
        0	     	        0	     	      422	     	     1035	     	        0
        0	     	        0	     	      427	     	     1101	     	        0
        0	     	        0	     	      450	     	     1070	     	        0
        0	     	        0	     	      401	     	     1196	     	        0
        0	     	        0	     	      405	     	     1080	     	        0
        0	     	        0	     	      432	     	     1163	     	        0
        0	     	        0	     	      409	     	     1037	     	        0
        0	     	        0	     	      386	     	      998	     	        0
        0	     	        0	     	      436	     	     1098	     	        0
        0	     	        0	     	      415	     	      999	     	        0
        0	     	        0	     	      429	     	     1040	     	        0
        0	     	        0	     	      415	     	     1039	     	        0
        0	     	        0	     	      415	     	     1024	     	        0
        0	     	        0	     	      427	     	     1036	     	        0
        0	     	        0	     	      430	     	     1003	     	        0
        0	     	        0	     	      429	     	     1065	     	        0
        0	     	        0	     	      451	     	     1102	     	        0
        0	     	        0	     	      393	     	     1067	     	        0
        0	     	        0	     	      432	     	     1050	     	        0
        0	     	        0	     	      429	     	     1094	     	        0
        0	     	        0	     	      419	     	     1018	     	        0
        0	     	        0	     	      411	     	     1047	     	        0
        0	     	        0	     	      420	     	     1095	     	        0
        0	     	        0	     	      434	     	     1025	     	        0
